


,3P%_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Virginia,1.0,0.272,0.5,true
2,Houston,0.9726027397260274,0.276,0.5,true
3,Virginia Commonwealth,0.9726027397260274,0.276,0.5,true
4,Murray State,0.9315068493150688,0.282,0.5,true
5,Central Michigan,0.8835616438356166,0.289,0.5,true
6,Michigan,0.8835616438356166,0.289,0.5,true
7,American,0.8630136986301372,0.292,0.5,true
8,Akron,0.856164383561644,0.293,0.5,true
9,Duke,0.856164383561644,0.293,0.5,true
10,Northwestern,0.856164383561644,0.293,0.5,true
11,Oregon,0.8493150684931509,0.294,0.5,true
12,Grambling,0.8424657534246578,0.295,0.5,true
13,Brown,0.8287671232876714,0.297,0.5,true
14,Georgia Tech,0.8287671232876714,0.297,0.5,true
15,Texas-Arlington,0.8219178082191783,0.298,0.5,true
16,Stony Brook,0.8013698630136987,0.301,0.5,true
17,Bethune-Cookman,0.7945205479452057,0.302,0.5,true
18,Buffalo,0.7945205479452057,0.302,0.5,true
19,Florida A&M,0.7945205479452057,0.302,0.5,true
20,Texas Tech,0.7945205479452057,0.302,0.5,true
21,Drake,0.7808219178082193,0.304,0.5,true
22,North Carolina State,0.7808219178082193,0.304,0.5,true
23,Texas Christian,0.7739726027397261,0.305,0.5,true
24,Fresno State,0.7671232876712331,0.306,0.5,true
25,UC-Santa Barbara,0.7602739726027399,0.307,0.5,true
26,Texas State,0.7534246575342467,0.308,0.5,true
27,Gonzaga,0.7465753424657535,0.309,0.5,true
28,Massachusetts-Lowell,0.7328767123287672,0.311,0.5,true
29,Nicholls State,0.7328767123287672,0.311,0.5,true
30,Alcorn State,0.726027397260274,0.312,0.5,true
31,Kansas State,0.726027397260274,0.312,0.5,true
32,Wisconsin,0.726027397260274,0.312,0.5,true
33,Yale,0.726027397260274,0.312,0.5,true
34,Central Florida,0.7191780821917808,0.313,0.5,true
35,North Carolina Central,0.7191780821917808,0.313,0.5,true
36,North Texas,0.7191780821917808,0.313,0.5,true
37,Northern Kentucky,0.7191780821917808,0.313,0.5,true
38,Prairie View,0.7191780821917808,0.313,0.5,true
39,Saint Louis,0.7191780821917808,0.313,0.5,true
40,Weber State,0.7123287671232877,0.314,0.5,true
