


,3PA_Def_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,Michigan,1.0,16.294117647058822,0.5,true
2,Stanford,0.9762902585002627,16.64516129032258,0.5,true
3,Saint Mary's (CA),0.9543708840490723,16.96969696969697,0.5,true
4,Abilene Christian,0.9461841297359772,17.09090909090909,0.5,true
5,American,0.9298106211097869,17.333333333333332,0.5,true
6,Arkansas-Pine Bluff,0.9058899483512117,17.6875,0.5,true
7,Northwestern,0.9037793007548669,17.71875,0.5,true
8,San Diego,0.9021510868948294,17.742857142857144,0.5,true
9,Northern Colorado,0.8953367103694875,17.84375,0.5,true
10,St. Francis (NY),0.8953367103694875,17.84375,0.5,true
11,La Salle,0.8717110743716917,18.193548387096776,0.5,true
12,Penn State,0.8594557012316248,18.375,0.5,true
13,Virginia Commonwealth,0.8552344060389352,18.4375,0.5,true
14,Southern,0.8531237584425904,18.46875,0.5,true
15,Southeastern Louisiana,0.8520364551353824,18.484848484848484,0.5,true
16,Fairfield,0.8390300793315135,18.677419354838708,0.5,true
17,Connecticut,0.8315695693526444,18.78787878787879,0.5,true
18,San Francisco,0.825957681315442,18.870967741935484,0.5,true
19,Seattle,0.8235746920937623,18.90625,0.5,true
20,UC-Irvine,0.821102219195187,18.942857142857143,0.5,true
21,Jackson State,0.8193533969010727,18.96875,0.5,true
22,North Carolina State,0.8192894378830017,18.96969696969697,0.5,true
23,Evansville,0.8172427493047278,19.0,0.5,true
24,Siena,0.8151960607264539,19.03030303030303,0.5,true
25,Missouri State,0.8130214541120381,19.0625,0.5,true
26,Texas-Rio Grande Valley,0.8114535444690391,19.085714285714285,0.5,true
27,North Florida,0.8111026835699064,19.09090909090909,0.5,true
28,Tennessee State,0.8104886769964241,19.1,0.5,true
29,Washington,0.8092967818831942,19.11764705882353,0.5,true
30,New Orleans,0.8088001589193484,19.125,0.5,true
31,Cal Poly,0.8079267875001712,19.137931034482758,0.5,true
32,Massachusetts,0.800357568533969,19.25,0.5,true
33,Hawaii,0.7998128852832993,19.258064516129032,0.5,true
34,Nebraska,0.7934048470401271,19.352941176470587,0.5,true
35,Robert Morris,0.7926824863654423,19.363636363636363,0.5,true
36,Prairie View,0.7914183551847437,19.38235294117647,0.5,true
37,Alabama,0.7885891092088946,19.424242424242426,0.5,true
38,Pennsylvania,0.7867404872672279,19.451612903225808,0.5,true
39,UC-Riverside,0.7865424206306209,19.454545454545453,0.5,true
40,Valparaiso,0.7804023548957993,19.545454545454547,0.5,true
41,Manhattan,0.7750297973778307,19.625,0.5,true
42,Dartmouth,0.7744669580188055,19.633333333333333,0.5,true
43,Illinois,0.7722156005827041,19.666666666666668,0.5,true
44,Santa Clara,0.7693106232457994,19.70967741935484,0.5,true
45,Mississippi,0.7686978545887961,19.71875,0.5,true
46,North Carolina Central,0.7681222234261567,19.727272727272727,0.5,true
47,Florida A&M,0.7671318902431209,19.741935483870968,0.5,true
48,Fordham,0.7644765593961065,19.78125,0.5,true
49,Minnesota,0.7636074692093763,19.794117647058822,0.5,true
50,Long Island University,0.7623659117997617,19.8125,0.5,true
51,North Texas,0.7619821576913354,19.818181818181817,0.5,true
52,Liberty,0.7596344854986095,19.852941176470587,0.5,true
53,UC-Davis,0.7584169582324067,19.870967741935484,0.5,true
54,Nevada-Las Vegas,0.7562382252297282,19.903225806451612,0.5,true
55,Portland State,0.7560339690107271,19.90625,0.5,true
56,James Madison,0.7558420919565138,19.90909090909091,0.5,true
57,Montana,0.7556615017878427,19.91176470588235,0.5,true
58,Loyola (IL),0.7537954033782401,19.939393939393938,0.5,true
59,North Dakota,0.7519533836577937,19.966666666666665,0.5,true
60,South Florida,0.7475913786253476,20.03125,0.5,true
61,Cal State Fullerton,0.7435619604868711,20.09090909090909,0.5,true
62,California Baptist,0.7429479539133889,20.1,0.5,true
63,Missouri-Kansas City,0.741259435836313,20.125,0.5,true
64,Cornell,0.7406965964772878,20.133333333333333,0.5,true
65,Florida,0.7397695669447755,20.147058823529413,0.5,true
66,UC-Santa Barbara,0.7370381406436233,20.1875,0.5,true
67,Loyola (MD),0.7370381406436233,20.1875,0.5,true
68,Wisconsin,0.7353752061737759,20.21212121212121,0.5,true
69,Grand Canyon,0.7333285175955021,20.242424242424242,0.5,true
70,Arizona,0.7328168454509336,20.25,0.5,true
