


,3PAr_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Stanford,1.0,0.273,0.5,true
2,Michigan,0.9253112033195022,0.291,0.5,true
3,North Florida,0.9211618257261412,0.292,0.5,true
4,American,0.8713692946058093,0.304,0.5,true
5,Northern Colorado,0.8423236514522823,0.311,0.5,true
6,Saint Mary's (CA),0.8298755186721992,0.314,0.5,true
7,St. Francis (NY),0.8257261410788382,0.315,0.5,true
8,Northwestern,0.8049792531120332,0.32,0.5,true
9,Evansville,0.7842323651452283,0.325,0.5,true
10,Alabama,0.7800829875518672,0.326,0.5,true
11,Long Island University,0.7800829875518672,0.326,0.5,true
12,San Diego,0.7800829875518672,0.326,0.5,true
13,Weber State,0.7759336099585062,0.327,0.5,true
14,Pennsylvania,0.7717842323651453,0.328,0.5,true
15,Seattle,0.7717842323651453,0.328,0.5,true
16,Arkansas-Pine Bluff,0.7634854771784232,0.33,0.5,true
17,Cal Poly,0.7551867219917012,0.332,0.5,true
18,UC-Irvine,0.7551867219917012,0.332,0.5,true
19,La Salle,0.7551867219917012,0.332,0.5,true
20,San Francisco,0.7551867219917012,0.332,0.5,true
21,Penn State,0.7510373443983402,0.333,0.5,true
22,Virginia Commonwealth,0.7468879668049793,0.334,0.5,true
23,Cornell,0.7427385892116183,0.335,0.5,true
24,Nebraska,0.7427385892116183,0.335,0.5,true
25,Abilene Christian,0.7385892116182573,0.336,0.5,true
26,Appalachian State,0.7385892116182573,0.336,0.5,true
27,North Dakota,0.7385892116182573,0.336,0.5,true
28,Connecticut,0.7344398340248963,0.337,0.5,true
29,Minnesota,0.7344398340248963,0.337,0.5,true
30,New Mexico,0.7344398340248963,0.337,0.5,true
31,Cal State Fullerton,0.7302904564315352,0.338,0.5,true
32,Dartmouth,0.7261410788381742,0.339,0.5,true
33,North Carolina State,0.7261410788381742,0.339,0.5,true
34,New Orleans,0.7219917012448133,0.34,0.5,true
35,Nicholls State,0.7219917012448133,0.34,0.5,true
36,California Baptist,0.7178423236514522,0.341,0.5,true
37,Nevada-Las Vegas,0.7178423236514522,0.341,0.5,true
38,Drexel,0.7136929460580912,0.342,0.5,true
39,Houston Baptist,0.7136929460580912,0.342,0.5,true
40,Santa Clara,0.7095435684647302,0.343,0.5,true
41,Bucknell,0.6970954356846475,0.346,0.5,true
42,Duquesne,0.6970954356846475,0.346,0.5,true
43,Eastern Kentucky,0.6970954356846475,0.346,0.5,true
44,Gonzaga,0.6970954356846475,0.346,0.5,true
45,Hawaii,0.6970954356846475,0.346,0.5,true
46,Duke,0.6929460580912865,0.347,0.5,true
47,Toledo,0.6929460580912865,0.347,0.5,true
48,Jacksonville,0.6887966804979255,0.348,0.5,true
49,Massachusetts,0.6887966804979255,0.348,0.5,true
50,Ball State,0.6846473029045645,0.349,0.5,true
51,Marshall,0.6846473029045645,0.349,0.5,true
52,Mississippi,0.6846473029045645,0.349,0.5,true
53,James Madison,0.6804979253112036,0.35,0.5,true
54,Murray State,0.6804979253112036,0.35,0.5,true
55,North Carolina Central,0.6763485477178425,0.351,0.5,true
56,Southeastern Louisiana,0.6763485477178425,0.351,0.5,true
57,Wisconsin,0.6763485477178425,0.351,0.5,true
58,Texas-Rio Grande Valley,0.6721991701244815,0.352,0.5,true
59,Texas Southern,0.6721991701244815,0.352,0.5,true
60,Washington,0.6680497925311205,0.353,0.5,true
61,Chattanooga,0.6639004149377594,0.354,0.5,true
62,Illinois,0.6639004149377594,0.354,0.5,true
63,Valparaiso,0.6639004149377594,0.354,0.5,true
64,Belmont,0.6597510373443984,0.355,0.5,true
65,Long Beach State,0.6597510373443984,0.355,0.5,true
66,Loyola (MD),0.6597510373443984,0.355,0.5,true
67,North Dakota State,0.6597510373443984,0.355,0.5,true
68,Tennessee State,0.6597510373443984,0.355,0.5,true
69,Fairfield,0.6556016597510375,0.356,0.5,true
70,Lafayette,0.6556016597510375,0.356,0.5,true
71,Louisiana,0.6556016597510375,0.356,0.5,true
72,Massachusetts-Lowell,0.6556016597510375,0.356,0.5,true
73,Vanderbilt,0.6556016597510375,0.356,0.5,true
74,Bethune-Cookman,0.6514522821576765,0.357,0.5,true
75,Cal State Northridge,0.6514522821576765,0.357,0.5,true
76,Grand Canyon,0.6514522821576765,0.357,0.5,true
77,Marquette,0.6514522821576765,0.357,0.5,true
78,Georgia,0.6473029045643155,0.358,0.5,true
79,Siena,0.6473029045643155,0.358,0.5,true
80,South Carolina Upstate,0.6473029045643155,0.358,0.5,true
81,West Virginia,0.6473029045643155,0.358,0.5,true
82,Northeastern,0.6431535269709545,0.359,0.5,true
83,Southern,0.6431535269709545,0.359,0.5,true
84,Texas Christian,0.6431535269709545,0.359,0.5,true
85,Utah Valley,0.6431535269709545,0.359,0.5,true
86,UC-Santa Barbara,0.6390041493775935,0.36,0.5,true
87,Portland State,0.6390041493775935,0.36,0.5,true
88,Prairie View,0.6390041493775935,0.36,0.5,true
