


,3PAr_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Savannah State,1.0,0.576,0.5,true
2,Quinnipiac,0.891737891737892,0.538,0.5,true
3,Citadel,0.8831908831908833,0.535,0.5,true
4,Villanova,0.8831908831908833,0.535,0.5,true
5,Winthrop,0.871794871794872,0.531,0.5,true
6,Elon,0.8005698005698006,0.506,0.5,true
7,Longwood,0.7863247863247864,0.501,0.5,true
8,Auburn,0.7635327635327637,0.493,0.5,true
9,Campbell,0.737891737891738,0.484,0.5,true
10,Fresno State,0.7293447293447294,0.481,0.5,true
11,Presbyterian,0.7236467236467237,0.479,0.5,true
12,Furman,0.7207977207977209,0.478,0.5,true
13,Siena,0.7207977207977209,0.478,0.5,true
14,Akron,0.717948717948718,0.477,0.5,true
15,New Hampshire,0.7122507122507122,0.475,0.5,true
16,North Dakota State,0.7094017094017093,0.474,0.5,true
17,Creighton,0.7037037037037036,0.472,0.5,true
18,Davidson,0.6894586894586896,0.467,0.5,true
19,New Mexico State,0.6866096866096867,0.466,0.5,true
20,Utah,0.6837606837606839,0.465,0.5,true
21,Northeastern,0.6780626780626782,0.463,0.5,true
22,Northern Colorado,0.6752136752136753,0.462,0.5,true
23,Purdue-Fort Wayne,0.6723646723646725,0.461,0.5,true
24,Nicholls State,0.6723646723646725,0.461,0.5,true
25,Coppin State,0.6695156695156695,0.46,0.5,true
26,Bucknell,0.6666666666666667,0.459,0.5,true
27,Western Carolina,0.6666666666666667,0.459,0.5,true
28,Marshall,0.6581196581196582,0.456,0.5,true
29,Wagner,0.6581196581196582,0.456,0.5,true
30,Illinois-Chicago,0.6552706552706553,0.455,0.5,true
31,VMI,0.6552706552706553,0.455,0.5,true
32,Hartford,0.6524216524216525,0.454,0.5,true
33,Florida Atlantic,0.6467236467236468,0.452,0.5,true
34,Albany (NY),0.6438746438746439,0.451,0.5,true
35,Miami (OH),0.6410256410256411,0.45,0.5,true
36,Virginia Tech,0.6410256410256411,0.45,0.5,true
37,Cleveland State,0.6324786324786326,0.447,0.5,true
38,Saint Joseph's,0.6324786324786326,0.447,0.5,true
39,North Florida,0.6267806267806268,0.445,0.5,true
40,Purdue,0.6267806267806268,0.445,0.5,true
41,Washington State,0.6267806267806268,0.445,0.5,true
42,Duquesne,0.6239316239316239,0.444,0.5,true
43,Pennsylvania,0.6239316239316239,0.444,0.5,true
44,Charleston Southern,0.6210826210826211,0.443,0.5,true
45,Army,0.6182336182336182,0.442,0.5,true
46,Louisiana-Monroe,0.6182336182336182,0.442,0.5,true
47,Belmont,0.6125356125356126,0.44,0.5,true
48,Detroit Mercy,0.6125356125356126,0.44,0.5,true
49,Fordham,0.6125356125356126,0.44,0.5,true
50,North Texas,0.6096866096866097,0.439,0.5,true
51,Oakland,0.6096866096866097,0.439,0.5,true
52,Georgia State,0.6068376068376069,0.438,0.5,true
53,New Mexico,0.6068376068376069,0.438,0.5,true
54,Evansville,0.603988603988604,0.437,0.5,true
55,Louisville,0.603988603988604,0.437,0.5,true
56,Notre Dame,0.603988603988604,0.437,0.5,true
57,South Carolina Upstate,0.603988603988604,0.437,0.5,true
58,Iona,0.6011396011396012,0.436,0.5,true
59,La Salle,0.5982905982905983,0.435,0.5,true
60,Liberty,0.5982905982905983,0.435,0.5,true
61,Miami (FL),0.5982905982905983,0.435,0.5,true
62,Montana State,0.5982905982905983,0.435,0.5,true
63,Wyoming,0.5982905982905983,0.435,0.5,true
64,Buffalo,0.5954415954415955,0.434,0.5,true
65,Eastern Washington,0.5954415954415955,0.434,0.5,true
66,Florida,0.5954415954415955,0.434,0.5,true
67,Youngstown State,0.5954415954415955,0.434,0.5,true
68,Idaho State,0.5897435897435898,0.432,0.5,true
69,Long Island University,0.5897435897435898,0.432,0.5,true
70,Texas,0.5897435897435898,0.432,0.5,true
71,Wofford,0.5897435897435898,0.432,0.5,true
72,Canisius,0.5868945868945868,0.431,0.5,true
73,Toledo,0.5868945868945868,0.431,0.5,true
74,California Baptist,0.584045584045584,0.43,0.5,true
75,Hawaii,0.584045584045584,0.43,0.5,true
76,Cornell,0.5811965811965812,0.429,0.5,true
77,Houston,0.5811965811965812,0.429,0.5,true
78,Northern Iowa,0.5811965811965812,0.429,0.5,true
79,Binghamton,0.5783475783475783,0.428,0.5,true
80,Syracuse,0.5783475783475783,0.428,0.5,true
81,Charlotte,0.5754985754985755,0.427,0.5,true
82,Nevada,0.5754985754985755,0.427,0.5,true
83,Butler,0.5726495726495726,0.426,0.5,true
84,Maryland-Baltimore County,0.5726495726495726,0.426,0.5,true
85,Rice,0.5726495726495726,0.426,0.5,true
86,Harvard,0.5669515669515669,0.424,0.5,true
87,Chattanooga,0.5641025641025641,0.423,0.5,true
88,Fairfield,0.5612535612535612,0.422,0.5,true
89,North Carolina-Asheville,0.5612535612535612,0.422,0.5,true
90,Vanderbilt,0.5612535612535612,0.422,0.5,true
91,Bryant,0.5584045584045584,0.421,0.5,true
92,North Alabama,0.5584045584045584,0.421,0.5,true
93,Sam Houston State,0.5584045584045584,0.421,0.5,true
94,Appalachian State,0.5555555555555556,0.42,0.5,true
95,Pepperdine,0.5555555555555556,0.42,0.5,true
96,Oklahoma State,0.5527065527065527,0.419,0.5,true
97,Marquette,0.547008547008547,0.417,0.5,true
98,UC-Riverside,0.5413105413105412,0.415,0.5,true
99,Florida International,0.5413105413105412,0.415,0.5,true
100,William & Mary,0.5413105413105412,0.415,0.5,true
101,Northern Kentucky,0.5384615384615384,0.414,0.5,true
102,Delaware,0.5356125356125355,0.413,0.5,true
103,Texas-San Antonio,0.5356125356125355,0.413,0.5,true
104,Central Arkansas,0.5327635327635327,0.412,0.5,true
105,Lafayette,0.5327635327635327,0.412,0.5,true
106,Missouri,0.5327635327635327,0.412,0.5,true
107,Mount St. Mary's,0.5327635327635327,0.412,0.5,true
108,Northern Arizona,0.5327635327635327,0.412,0.5,true
109,Tennessee State,0.5327635327635327,0.412,0.5,true
110,Dartmouth,0.5299145299145299,0.411,0.5,true
111,Virginia Commonwealth,0.5299145299145299,0.411,0.5,true
