


,3P_Def_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,Michigan,1.0,4.705882352941177,0.5,true
2,American,0.9471568064330845,5.066666666666666,0.5,true
3,Virginia Commonwealth,0.9431899770246984,5.09375,0.5,true
4,Northwestern,0.9294586444572085,5.1875,0.5,true
5,Saint Mary's (CA),0.8992219727429378,5.393939393939394,0.5,true
6,St. Francis (NY),0.8608019816197587,5.65625,0.5,true
7,Abilene Christian,0.8592762780011487,5.666666666666667,0.5,true
8,Stanford,0.8482518389505476,5.741935483870968,0.5,true
9,North Carolina State,0.8459610464205525,5.757575757575758,0.5,true
10,Virginia,0.8379164273406089,5.8125,0.5,true
11,San Diego,0.8271929104783786,5.885714285714286,0.5,true
12,Florida A&M,0.8151785217987437,5.967741935483871,0.5,true
13,Murray State,0.8151785217987437,5.967741935483871,0.5,true
14,San Francisco,0.8057290026125141,6.032258064516129,0.5,true
15,Prairie View,0.8018380241240667,6.0588235294117645,0.5,true
16,Southeastern Louisiana,0.7971385306250327,6.090909090909091,0.5,true
17,New Orleans,0.7921453187823091,6.125,0.5,true
18,North Carolina Central,0.7838232990444364,6.181818181818182,0.5,true
19,UC-Santa Barbara,0.7829910970706491,6.1875,0.5,true
20,North Texas,0.7793848885175709,6.212121212121212,0.5,true
21,La Salle,0.7773804450538253,6.225806451612903,0.5,true
22,Santa Clara,0.7773804450538253,6.225806451612903,0.5,true
23,Houston,0.7716829408385986,6.264705882352941,0.5,true
24,Grambling,0.77050806746384,6.2727272727272725,0.5,true
25,Arkansas-Pine Bluff,0.7692597645031591,6.28125,0.5,true
26,UC-Irvine,0.7686058915237548,6.285714285714286,0.5,true
27,Texas-Rio Grande Valley,0.7686058915237548,6.285714285714286,0.5,true
28,Connecticut,0.7660696569369746,6.303030303030303,0.5,true
29,Wisconsin,0.7660696569369746,6.303030303030303,0.5,true
30,Seattle,0.7646826536473291,6.3125,0.5,true
31,Nebraska,0.7630672027570362,6.323529411764706,0.5,true
32,Washington,0.7630672027570362,6.323529411764706,0.5,true
33,Texas Tech,0.7601055427914991,6.34375,0.5,true
34,Liberty,0.758759333716255,6.352941176470588,0.5,true
35,Cal State Fullerton,0.7571928358832438,6.363636363636363,0.5,true
36,Nicholls State,0.7537566470882512,6.387096774193548,0.5,true
37,Alabama,0.7483160148295129,6.424242424242424,0.5,true
38,Texas State,0.7483160148295129,6.424242424242424,0.5,true
39,Cornell,0.7469844916714532,6.433333333333334,0.5,true
40,South Florida,0.7463742102240092,6.4375,0.5,true
41,Florida,0.7458357265939115,6.4411764705882355,0.5,true
42,Robert Morris,0.7438776043026474,6.454545454545454,0.5,true
43,Saint Louis,0.7434971691146304,6.457142857142857,0.5,true
44,Dartmouth,0.7421022400919012,6.466666666666667,0.5,true
45,Fordham,0.7417970993681793,6.46875,0.5,true
46,Georgia Tech,0.7417970993681793,6.46875,0.5,true
47,Illinois,0.739439193775782,6.484848484848484,0.5,true
48,North Florida,0.739439193775782,6.484848484848484,0.5,true
49,Valparaiso,0.739439193775782,6.484848484848484,0.5,true
50,Duke,0.7372199885123492,6.5,0.5,true
51,Penn State,0.7372199885123492,6.5,0.5,true
52,Akron,0.7350007832489165,6.515151515151516,0.5,true
53,Texas Christian,0.7350007832489165,6.515151515151516,0.5,true
54,Weber State,0.7350007832489165,6.515151515151516,0.5,true
55,Pennsylvania,0.7348576087157918,6.516129032258065,0.5,true
56,Long Island University,0.7326428776565193,6.53125,0.5,true
57,Texas-Arlington,0.730562372722051,6.545454545454546,0.5,true
58,Hawaii,0.730132849122677,6.548387096774194,0.5,true
59,Drake,0.7261239621951856,6.575757575757576,0.5,true
60,Gonzaga,0.7261239621951856,6.575757575757576,0.5,true
61,Evansville,0.7234886559448592,6.59375,0.5,true
62,Northern Colorado,0.7234886559448592,6.59375,0.5,true
63,Alcorn State,0.7206833299364472,6.612903225806452,0.5,true
64,Bethune-Cookman,0.7206833299364472,6.612903225806452,0.5,true
65,Arizona,0.7143344342331993,6.65625,0.5,true
66,Jackson State,0.7143344342331993,6.65625,0.5,true
67,Central Michigan,0.7113727742676622,6.676470588235294,0.5,true
68,Rhode Island,0.7083703200877238,6.696969696969697,0.5,true
69,Buffalo,0.7070649052268811,6.705882352941177,0.5,true
70,Minnesota,0.7070649052268811,6.705882352941177,0.5,true
71,Massachusetts-Lowell,0.7051802125215394,6.71875,0.5,true
72,Toledo,0.7051802125215394,6.71875,0.5,true
73,Massachusetts,0.7006031016657094,6.75,0.5,true
74,UC-Davis,0.6970595319708732,6.774193548387097,0.5,true
75,Kansas State,0.6950550885071276,6.787878787878788,0.5,true
76,Marquette,0.6950550885071276,6.787878787878788,0.5,true
77,Montana,0.6941412981045376,6.794117647058823,0.5,true
78,North Dakota,0.6932797242963814,6.8,0.5,true
79,Loyola Marymount,0.6923347723777584,6.806451612903226,0.5,true
80,Colorado,0.690616677980262,6.818181818181818,0.5,true
81,Ohio State,0.690616677980262,6.818181818181818,0.5,true
82,New Hampshire,0.6892392402305453,6.827586206896552,0.5,true
83,Fairfield,0.6876100127846436,6.838709677419355,0.5,true
84,Southern,0.6868717690982193,6.84375,0.5,true
85,Northeastern,0.6861782674533967,6.848484848484849,0.5,true
86,Siena,0.6861782674533967,6.848484848484849,0.5,true
87,Northern Iowa,0.6855255600229754,6.852941176470588,0.5,true
88,Princeton,0.6849101501600066,6.857142857142857,0.5,true
89,North Carolina A&T,0.6822946582423894,6.875,0.5,true
90,California Baptist,0.6786329695577253,6.9,0.5,true
91,East Carolina,0.678160493598414,6.903225806451613,0.5,true
92,Portland State,0.6777175473865595,6.90625,0.5,true
93,Ball State,0.6773014463996658,6.909090909090909,0.5,true
94,Louisville,0.6773014463996658,6.909090909090909,0.5,true
95,South Carolina Upstate,0.6731404365307294,6.9375,0.5,true
96,UC-Riverside,0.6728630358728004,6.9393939393939394,0.5,true
97,Duquesne,0.6685633256748995,6.96875,0.5,true
98,Missouri,0.6685633256748995,6.96875,0.5,true
99,Bucknell,0.6684246253459349,6.96969696969697,0.5,true
100,James Madison,0.6684246253459349,6.96969696969697,0.5,true
101,Alabama State,0.6639862148190695,7.0,0.5,true
102,Central Florida,0.6639862148190695,7.0,0.5,true
103,Northern Kentucky,0.6639862148190695,7.0,0.5,true
104,Wichita State,0.6639862148190695,7.0,0.5,true
105,Florida State,0.6596783457782884,7.029411764705882,0.5,true
106,Old Dominion,0.6596783457782884,7.029411764705882,0.5,true
107,Fresno State,0.6594091039632395,7.03125,0.5,true
108,Indiana State,0.6592614552259547,7.032258064516129,0.5,true
109,Cal Poly,0.6589356097367745,7.0344827586206895,0.5,true
110,Oregon,0.6556166406826947,7.057142857142857,0.5,true
111,New Mexico State,0.6553704767375073,7.0588235294117645,0.5,true
