


,AST%_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,New Mexico State,1.0,38.1,0.5,true
2,Toledo,0.9261744966442954,40.3,0.5,true
3,Buffalo,0.9228187919463089,40.4,0.5,true
4,Pennsylvania,0.9194630872483223,40.5,0.5,true
5,Seattle,0.9161073825503356,40.6,0.5,true
6,Stanford,0.906040268456376,40.9,0.5,true
7,Gonzaga,0.8993288590604027,41.1,0.5,true
8,Central Michigan,0.8825503355704698,41.6,0.5,true
9,Drake,0.8791946308724832,41.7,0.5,true
10,New Hampshire,0.8724832214765101,41.9,0.5,true
11,Saint Mary's (CA),0.8389261744966444,42.9,0.5,true
12,Colorado,0.8288590604026845,43.2,0.5,true
13,Cornell,0.8288590604026845,43.2,0.5,true
14,North Dakota,0.8288590604026845,43.2,0.5,true
15,Grand Canyon,0.8255033557046981,43.3,0.5,true
16,Princeton,0.8221476510067115,43.4,0.5,true
17,Alabama,0.8187919463087249,43.5,0.5,true
18,Louisiana State,0.8187919463087249,43.5,0.5,true
19,San Francisco,0.8187919463087249,43.5,0.5,true
20,Siena,0.8187919463087249,43.5,0.5,true
21,UC-Irvine,0.8154362416107382,43.6,0.5,true
22,Northern Colorado,0.8120805369127516,43.7,0.5,true
23,Virginia,0.8053691275167787,43.9,0.5,true
24,St. Francis (NY),0.7986577181208054,44.1,0.5,true
25,Florida State,0.7953020134228188,44.2,0.5,true
26,San Diego,0.7953020134228188,44.2,0.5,true
27,California Baptist,0.7919463087248324,44.3,0.5,true
28,Lafayette,0.7852348993288591,44.5,0.5,true
29,North Dakota State,0.7818791946308725,44.6,0.5,true
30,Wright State,0.7785234899328859,44.7,0.5,true
31,South Dakota,0.7718120805369129,44.9,0.5,true
32,Weber State,0.7718120805369129,44.9,0.5,true
33,Belmont,0.7684563758389262,45.0,0.5,true
34,Clemson,0.7684563758389262,45.0,0.5,true
35,Marshall,0.7684563758389262,45.0,0.5,true
36,Akron,0.7651006711409396,45.1,0.5,true
37,Montana,0.7651006711409396,45.1,0.5,true
38,Murray State,0.761744966442953,45.2,0.5,true
39,Georgia,0.7583892617449666,45.3,0.5,true
40,Louisiana,0.7583892617449666,45.3,0.5,true
41,Michigan,0.7583892617449666,45.3,0.5,true
42,Ball State,0.7550335570469799,45.4,0.5,true
43,Dartmouth,0.7550335570469799,45.4,0.5,true
44,Evansville,0.7550335570469799,45.4,0.5,true
45,Quinnipiac,0.7550335570469799,45.4,0.5,true
46,Hawaii,0.7516778523489933,45.5,0.5,true
47,Appalachian State,0.7483221476510067,45.6,0.5,true
48,Wisconsin,0.7483221476510067,45.6,0.5,true
49,Northeastern,0.7449664429530201,45.7,0.5,true
50,Tennessee State,0.7449664429530201,45.7,0.5,true
51,Jacksonville,0.7416107382550338,45.8,0.5,true
52,Liberty,0.7348993288590605,46.0,0.5,true
53,Chattanooga,0.7281879194630873,46.2,0.5,true
54,Purdue-Fort Wayne,0.7214765100671142,46.4,0.5,true
55,North Carolina-Greensboro,0.7181208053691276,46.5,0.5,true
56,Southeastern Louisiana,0.7181208053691276,46.5,0.5,true
57,Vermont,0.7181208053691276,46.5,0.5,true
58,Western Carolina,0.7181208053691276,46.5,0.5,true
59,Western Illinois,0.7181208053691276,46.5,0.5,true
60,UC-Santa Barbara,0.708053691275168,46.8,0.5,true
61,Massachusetts-Lowell,0.708053691275168,46.8,0.5,true
62,Furman,0.7046979865771814,46.9,0.5,true
63,Bowling Green State,0.7013422818791948,47.0,0.5,true
64,Drexel,0.6946308724832215,47.2,0.5,true
65,Vanderbilt,0.6946308724832215,47.2,0.5,true
66,Abilene Christian,0.6879194630872485,47.4,0.5,true
67,Nebraska,0.6879194630872485,47.4,0.5,true
68,Texas,0.6812080536912752,47.6,0.5,true
69,Winthrop,0.6778523489932886,47.7,0.5,true
70,Arizona,0.6744966442953022,47.8,0.5,true
71,Utah,0.6744966442953022,47.8,0.5,true
72,Pacific,0.667785234899329,48.0,0.5,true
73,South Dakota State,0.667785234899329,48.0,0.5,true
74,Texas-El Paso,0.667785234899329,48.0,0.5,true
75,Columbia,0.6644295302013423,48.1,0.5,true
76,Richmond,0.6644295302013423,48.1,0.5,true
77,Robert Morris,0.6644295302013423,48.1,0.5,true
78,Georgia Southern,0.6610738255033557,48.2,0.5,true
79,Kentucky,0.6610738255033557,48.2,0.5,true
80,Long Beach State,0.6610738255033557,48.2,0.5,true
81,Louisville,0.651006711409396,48.5,0.5,true
82,Omaha,0.651006711409396,48.5,0.5,true
83,North Carolina-Wilmington,0.651006711409396,48.5,0.5,true
84,William & Mary,0.651006711409396,48.5,0.5,true
85,Canisius,0.6476510067114094,48.6,0.5,true
86,Texas-San Antonio,0.6476510067114094,48.6,0.5,true
87,Duke,0.6442953020134228,48.7,0.5,true
88,Lipscomb,0.6442953020134228,48.7,0.5,true
89,Texas Tech,0.6442953020134228,48.7,0.5,true
90,Wofford,0.6442953020134228,48.7,0.5,true
91,Cal State Fullerton,0.6409395973154364,48.8,0.5,true
92,Florida,0.6409395973154364,48.8,0.5,true
93,Long Island University,0.6409395973154364,48.8,0.5,true
94,Jacksonville State,0.6375838926174497,48.9,0.5,true
95,Northern Iowa,0.6375838926174497,48.9,0.5,true
96,Troy,0.6375838926174497,48.9,0.5,true
97,Butler,0.6342281879194631,49.0,0.5,true
98,North Texas,0.6342281879194631,49.0,0.5,true
99,Notre Dame,0.6308724832214765,49.1,0.5,true
100,Yale,0.6308724832214765,49.1,0.5,true
101,Miami (OH),0.6275167785234899,49.2,0.5,true
102,Missouri,0.6275167785234899,49.2,0.5,true
103,Wichita State,0.6275167785234899,49.2,0.5,true
104,Louisiana-Monroe,0.6241610738255036,49.3,0.5,true
105,Texas State,0.6241610738255036,49.3,0.5,true
106,Harvard,0.6208053691275169,49.4,0.5,true
107,Nevada-Las Vegas,0.6208053691275169,49.4,0.5,true
108,Florida Atlantic,0.610738255033557,49.7,0.5,true
109,Presbyterian,0.610738255033557,49.7,0.5,true
110,Bucknell,0.6073825503355706,49.8,0.5,true
111,George Mason,0.6073825503355706,49.8,0.5,true
112,Green Bay,0.6073825503355706,49.8,0.5,true
113,Iowa State,0.604026845637584,49.9,0.5,true
114,Penn State,0.604026845637584,49.9,0.5,true
115,Temple,0.604026845637584,49.9,0.5,true
116,Oklahoma,0.6006711409395975,50.0,0.5,true
117,Brown,0.5973154362416109,50.1,0.5,true
118,Florida A&M,0.5973154362416109,50.1,0.5,true
119,Houston,0.5973154362416109,50.1,0.5,true
120,Marquette,0.5973154362416109,50.1,0.5,true
121,Mississippi State,0.5973154362416109,50.1,0.5,true
122,Morehead State,0.5973154362416109,50.1,0.5,true
123,Radford,0.5973154362416109,50.1,0.5,true
124,American,0.5939597315436242,50.2,0.5,true
125,Minnesota,0.5939597315436242,50.2,0.5,true
126,Providence,0.5906040268456378,50.3,0.5,true
127,Hartford,0.5872483221476512,50.4,0.5,true
128,South Carolina State,0.5872483221476512,50.4,0.5,true
129,Saint Francis (PA),0.5838926174496646,50.5,0.5,true
130,South Carolina,0.5838926174496646,50.5,0.5,true
131,Cincinnati,0.580536912751678,50.6,0.5,true
132,Southern Utah,0.580536912751678,50.6,0.5,true
133,Valparaiso,0.580536912751678,50.6,0.5,true
134,Western Michigan,0.580536912751678,50.6,0.5,true
135,Florida International,0.5771812080536913,50.7,0.5,true
136,Utah State,0.5771812080536913,50.7,0.5,true
137,Utah Valley,0.5771812080536913,50.7,0.5,true
138,West Virginia,0.5771812080536913,50.7,0.5,true
139,Niagara,0.5738255033557049,50.8,0.5,true
140,Ohio State,0.5738255033557049,50.8,0.5,true
141,Arkansas State,0.5704697986577183,50.9,0.5,true
142,Delaware,0.5704697986577183,50.9,0.5,true
143,Northern Kentucky,0.5704697986577183,50.9,0.5,true
144,Creighton,0.5671140939597317,51.0,0.5,true
145,Southern Illinois,0.5671140939597317,51.0,0.5,true
146,Virginia Commonwealth,0.5671140939597317,51.0,0.5,true
147,Brigham Young,0.563758389261745,51.1,0.5,true
148,Kent State,0.563758389261745,51.1,0.5,true
149,Rutgers,0.563758389261745,51.1,0.5,true
150,Sacred Heart,0.563758389261745,51.1,0.5,true
151,Fairleigh Dickinson,0.557046979865772,51.3,0.5,true
152,Missouri-Kansas City,0.557046979865772,51.3,0.5,true
153,Youngstown State,0.557046979865772,51.3,0.5,true
154,Grambling,0.5536912751677854,51.4,0.5,true
155,Ohio,0.5536912751677854,51.4,0.5,true
156,Eastern Washington,0.5503355704697988,51.5,0.5,true
157,Fairfield,0.5503355704697988,51.5,0.5,true
158,St. Bonaventure,0.5503355704697988,51.5,0.5,true
159,Colgate,0.5469798657718121,51.6,0.5,true
160,College of Charleston,0.5469798657718121,51.6,0.5,true
161,Loyola (IL),0.5469798657718121,51.6,0.5,true
162,NJIT,0.5469798657718121,51.6,0.5,true
163,North Alabama,0.5469798657718121,51.6,0.5,true
164,South Carolina Upstate,0.5469798657718121,51.6,0.5,true
165,Campbell,0.5436241610738255,51.7,0.5,true
166,North Carolina State,0.5436241610738255,51.7,0.5,true
167,Rice,0.5436241610738255,51.7,0.5,true
168,Elon,0.5402684563758391,51.8,0.5,true
169,Southern,0.5402684563758391,51.8,0.5,true
170,Stony Brook,0.5402684563758391,51.8,0.5,true
171,Tulane,0.5402684563758391,51.8,0.5,true
172,Auburn,0.5369127516778525,51.9,0.5,true
173,Austin Peay,0.5369127516778525,51.9,0.5,true
174,Boise State,0.5369127516778525,51.9,0.5,true
175,Dayton,0.5369127516778525,51.9,0.5,true
176,Eastern Kentucky,0.5369127516778525,51.9,0.5,true
