


,AST%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Michigan State,1.0,68.3,0.5,true
2,Oakland,0.9638157894736844,67.2,0.5,true
3,Maine,0.8289473684210528,63.1,0.5,true
4,William & Mary,0.8223684210526316,62.9,0.5,true
5,Belmont,0.805921052631579,62.4,0.5,true
6,Utah State,0.792763157894737,62.0,0.5,true
7,Sam Houston State,0.7894736842105263,61.9,0.5,true
8,Southern Mississippi,0.7796052631578949,61.6,0.5,true
9,Northwestern,0.7730263157894737,61.4,0.5,true
10,North Carolina,0.7697368421052632,61.3,0.5,true
11,Georgetown,0.7631578947368423,61.1,0.5,true
12,Richmond,0.7631578947368423,61.1,0.5,true
13,Tennessee,0.7598684210526316,61.0,0.5,true
14,Northern Kentucky,0.7532894736842105,60.8,0.5,true
15,Dayton,0.7500000000000002,60.7,0.5,true
16,Hawaii,0.7500000000000002,60.7,0.5,true
17,Tulane,0.7467105263157896,60.6,0.5,true
18,Texas Christian,0.7401315789473685,60.4,0.5,true
19,Iowa,0.7335526315789476,60.2,0.5,true
20,Holy Cross,0.730263157894737,60.1,0.5,true
21,Minnesota,0.7269736842105264,60.0,0.5,true
22,Bucknell,0.7236842105263158,59.9,0.5,true
23,Cornell,0.7236842105263158,59.9,0.5,true
24,North Carolina Central,0.7236842105263158,59.9,0.5,true
25,Toledo,0.7236842105263158,59.9,0.5,true
26,Murray State,0.7203947368421052,59.8,0.5,true
27,Lipscomb,0.7171052631578949,59.7,0.5,true
28,Army,0.7138157894736843,59.6,0.5,true
29,Virginia Tech,0.7138157894736843,59.6,0.5,true
30,Arkansas,0.7072368421052632,59.4,0.5,true
31,San Jose State,0.7039473684210527,59.3,0.5,true
32,Southeastern Louisiana,0.6973684210526317,59.1,0.5,true
33,Ohio State,0.6940789473684211,59.0,0.5,true
34,Providence,0.6809210526315791,58.6,0.5,true
35,Abilene Christian,0.674342105263158,58.4,0.5,true
36,Canisius,0.674342105263158,58.4,0.5,true
37,Presbyterian,0.6710526315789473,58.3,0.5,true
38,Oregon State,0.6644736842105264,58.1,0.5,true
39,Massachusetts,0.6611842105263158,58.0,0.5,true
40,South Florida,0.6611842105263158,58.0,0.5,true
41,Davidson,0.6578947368421053,57.9,0.5,true
42,Kansas State,0.6578947368421053,57.9,0.5,true
43,Drake,0.6513157894736844,57.7,0.5,true
44,Villanova,0.6513157894736844,57.7,0.5,true
45,Cleveland State,0.6480263157894738,57.6,0.5,true
46,Elon,0.6480263157894738,57.6,0.5,true
47,North Florida,0.6480263157894738,57.6,0.5,true
48,San Diego State,0.6480263157894738,57.6,0.5,true
49,Georgia Tech,0.6414473684210527,57.4,0.5,true
50,New Orleans,0.638157894736842,57.3,0.5,true
51,Central Arkansas,0.6348684210526317,57.2,0.5,true
52,Montana State,0.6348684210526317,57.2,0.5,true
53,Southern California,0.6348684210526317,57.2,0.5,true
54,Yale,0.6348684210526317,57.2,0.5,true
55,Colgate,0.6315789473684211,57.1,0.5,true
56,Massachusetts-Lowell,0.6315789473684211,57.1,0.5,true
57,Washington State,0.6315789473684211,57.1,0.5,true
58,Columbia,0.625,56.9,0.5,true
59,Texas State,0.625,56.9,0.5,true
60,Robert Morris,0.6217105263157895,56.8,0.5,true
61,Creighton,0.6184210526315791,56.7,0.5,true
62,Santa Clara,0.6151315789473686,56.6,0.5,true
63,Virginia,0.6151315789473686,56.6,0.5,true
64,Xavier,0.6151315789473686,56.6,0.5,true
65,Furman,0.6085526315789473,56.4,0.5,true
66,McNeese State,0.6085526315789473,56.4,0.5,true
67,Pennsylvania,0.6085526315789473,56.4,0.5,true
68,San Diego,0.6085526315789473,56.4,0.5,true
69,North Carolina-Wilmington,0.6019736842105264,56.2,0.5,true
70,Ohio,0.6019736842105264,56.2,0.5,true
71,Savannah State,0.5953947368421053,56.0,0.5,true
72,South Carolina Upstate,0.5953947368421053,56.0,0.5,true
73,Gonzaga,0.5921052631578948,55.9,0.5,true
74,Campbell,0.5888157894736842,55.8,0.5,true
75,Houston,0.5888157894736842,55.8,0.5,true
76,Loyola (IL),0.5855263157894739,55.7,0.5,true
77,Buffalo,0.5789473684210527,55.5,0.5,true
78,Florida Gulf Coast,0.5789473684210527,55.5,0.5,true
79,Loyola Marymount,0.5789473684210527,55.5,0.5,true
80,Oklahoma State,0.5789473684210527,55.5,0.5,true
81,Pepperdine,0.5756578947368421,55.4,0.5,true
