


,BLK%_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Gonzaga,1.0,4.9,0.5,true
2,Towson,0.9215686274509804,5.7,0.5,true
3,Troy,0.911764705882353,5.8,0.5,true
4,Jacksonville State,0.9019607843137255,5.9,0.5,true
5,New Mexico State,0.9019607843137255,5.9,0.5,true
6,North Dakota,0.9019607843137255,5.9,0.5,true
7,North Carolina-Wilmington,0.8823529411764707,6.1,0.5,true
8,Ohio,0.8823529411764707,6.1,0.5,true
9,Howard,0.8725490196078431,6.2,0.5,true
10,Tennessee,0.8725490196078431,6.2,0.5,true
11,Colorado State,0.8627450980392157,6.3,0.5,true
12,St. John's (NY),0.8529411764705882,6.4,0.5,true
13,Cal State Bakersfield,0.8431372549019608,6.5,0.5,true
14,Lafayette,0.8431372549019608,6.5,0.5,true
15,Cal State Fullerton,0.8333333333333334,6.6,0.5,true
16,UC-Irvine,0.8235294117647058,6.7,0.5,true
17,UC-Riverside,0.8235294117647058,6.7,0.5,true
18,Campbell,0.8235294117647058,6.7,0.5,true
19,Houston,0.8235294117647058,6.7,0.5,true
20,Temple,0.8235294117647058,6.7,0.5,true
21,Old Dominion,0.8137254901960784,6.8,0.5,true
22,Texas Tech,0.8137254901960784,6.8,0.5,true
23,Green Bay,0.803921568627451,6.9,0.5,true
24,Nevada-Las Vegas,0.803921568627451,6.9,0.5,true
25,Brigham Young,0.7941176470588236,7.0,0.5,true
26,Elon,0.7941176470588236,7.0,0.5,true
27,Maine,0.7941176470588236,7.0,0.5,true
28,Montana State,0.7941176470588236,7.0,0.5,true
29,Little Rock,0.7843137254901962,7.1,0.5,true
30,Bradley,0.7843137254901962,7.1,0.5,true
31,Florida Atlantic,0.7843137254901962,7.1,0.5,true
32,Hawaii,0.7843137254901962,7.1,0.5,true
33,Bowling Green State,0.7745098039215687,7.2,0.5,true
34,California Baptist,0.7745098039215687,7.2,0.5,true
35,Denver,0.7745098039215687,7.2,0.5,true
36,Hofstra,0.7745098039215687,7.2,0.5,true
37,Louisiana State,0.7745098039215687,7.2,0.5,true
38,Nevada,0.7745098039215687,7.2,0.5,true
39,Northeastern,0.7745098039215687,7.2,0.5,true
40,Western Illinois,0.7745098039215687,7.2,0.5,true
41,Cal State Northridge,0.7647058823529412,7.3,0.5,true
42,Northern Illinois,0.7647058823529412,7.3,0.5,true
43,Wofford,0.7647058823529412,7.3,0.5,true
44,Illinois State,0.7549019607843137,7.4,0.5,true
45,Saint Joseph's,0.7549019607843137,7.4,0.5,true
46,Weber State,0.7549019607843137,7.4,0.5,true
47,Abilene Christian,0.7450980392156863,7.5,0.5,true
48,Central Arkansas,0.7450980392156863,7.5,0.5,true
49,Davidson,0.7450980392156863,7.5,0.5,true
50,Georgia Southern,0.7450980392156863,7.5,0.5,true
51,Iowa State,0.7450980392156863,7.5,0.5,true
52,San Diego State,0.7450980392156863,7.5,0.5,true
53,SIU Edwardsville,0.7450980392156863,7.5,0.5,true
54,Florida A&M,0.7352941176470589,7.6,0.5,true
55,Seattle,0.7352941176470589,7.6,0.5,true
56,Southern California,0.7352941176470589,7.6,0.5,true
57,Southern Methodist,0.7352941176470589,7.6,0.5,true
58,St. Bonaventure,0.7352941176470589,7.6,0.5,true
59,Virginia Commonwealth,0.7352941176470589,7.6,0.5,true
60,Washington,0.7352941176470589,7.6,0.5,true
61,Yale,0.7352941176470589,7.6,0.5,true
62,Alcorn State,0.7254901960784313,7.7,0.5,true
63,Chicago State,0.7254901960784313,7.7,0.5,true
64,Kentucky,0.7254901960784313,7.7,0.5,true
65,Marshall,0.7254901960784313,7.7,0.5,true
