


,BLK%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Saint Peter's,1.0,17.7,0.5,true
2,Syracuse,0.9253731343283582,16.7,0.5,true
3,Duke,0.9029850746268656,16.4,0.5,true
4,Washington,0.8880597014925373,16.2,0.5,true
5,Auburn,0.8805970149253732,16.1,0.5,true
6,St. Bonaventure,0.828358208955224,15.4,0.5,true
7,Texas Tech,0.8208955223880597,15.3,0.5,true
8,Tennessee,0.8134328358208955,15.2,0.5,true
9,Oregon State,0.7910447761194032,14.9,0.5,true
10,Cincinnati,0.7761194029850746,14.7,0.5,true
11,Oregon,0.7686567164179106,14.6,0.5,true
12,Arkansas,0.7611940298507462,14.5,0.5,true
13,Georgia State,0.7537313432835823,14.4,0.5,true
14,Georgia Tech,0.7537313432835823,14.4,0.5,true
15,Western Kentucky,0.7537313432835823,14.4,0.5,true
16,Kentucky,0.7388059701492538,14.2,0.5,true
17,Michigan State,0.7313432835820897,14.1,0.5,true
18,Old Dominion,0.7313432835820897,14.1,0.5,true
19,Baylor,0.7164179104477614,13.9,0.5,true
20,Houston,0.7089552238805971,13.8,0.5,true
21,Mississippi State,0.6940298507462688,13.6,0.5,true
22,Eastern Michigan,0.6865671641791045,13.5,0.5,true
23,Gonzaga,0.6791044776119405,13.4,0.5,true
24,Norfolk State,0.6791044776119405,13.4,0.5,true
25,Maryland,0.6716417910447762,13.3,0.5,true
26,Clemson,0.6641791044776119,13.2,0.5,true
27,Oklahoma State,0.6567164179104479,13.1,0.5,true
28,Jacksonville,0.6492537313432836,13.0,0.5,true
29,Purdue,0.6492537313432836,13.0,0.5,true
30,Iowa State,0.6343283582089553,12.8,0.5,true
31,Georgia,0.626865671641791,12.7,0.5,true
32,South Carolina,0.626865671641791,12.7,0.5,true
33,Texas A&M,0.626865671641791,12.7,0.5,true
34,Binghamton,0.619402985074627,12.6,0.5,true
35,Florida State,0.6119402985074627,12.5,0.5,true
36,Stony Brook,0.6119402985074627,12.5,0.5,true
37,Central Florida,0.6044776119402987,12.4,0.5,true
38,Holy Cross,0.6044776119402987,12.4,0.5,true
39,William & Mary,0.6044776119402987,12.4,0.5,true
40,Purdue-Fort Wayne,0.5970149253731344,12.3,0.5,true
41,Troy,0.5970149253731344,12.3,0.5,true
42,Virginia Commonwealth,0.5970149253731344,12.3,0.5,true
43,Virginia,0.5970149253731344,12.3,0.5,true
44,Jacksonville State,0.5895522388059702,12.2,0.5,true
45,Duquesne,0.582089552238806,12.1,0.5,true
46,Indiana,0.582089552238806,12.1,0.5,true
47,Missouri State,0.582089552238806,12.1,0.5,true
48,Northwestern State,0.582089552238806,12.1,0.5,true
49,Saint Louis,0.582089552238806,12.1,0.5,true
50,Utah State,0.582089552238806,12.1,0.5,true
51,Vermont,0.582089552238806,12.1,0.5,true
52,Long Island University,0.5746268656716419,12.0,0.5,true
53,Louisiana State,0.5746268656716419,12.0,0.5,true
54,Wagner,0.5746268656716419,12.0,0.5,true
55,Connecticut,0.5671641791044777,11.9,0.5,true
56,East Tennessee State,0.5671641791044777,11.9,0.5,true
57,Jackson State,0.5671641791044777,11.9,0.5,true
58,Stephen F. Austin,0.5671641791044777,11.9,0.5,true
59,Arkansas State,0.5597014925373136,11.8,0.5,true
60,Furman,0.5522388059701493,11.7,0.5,true
61,Grambling,0.5522388059701493,11.7,0.5,true
62,Murray State,0.5522388059701493,11.7,0.5,true
63,Notre Dame,0.5522388059701493,11.7,0.5,true
64,Southern Illinois,0.5522388059701493,11.7,0.5,true
65,Alabama,0.5447761194029851,11.6,0.5,true
66,Bradley,0.5447761194029851,11.6,0.5,true
67,Florida Gulf Coast,0.5447761194029851,11.6,0.5,true
68,North Carolina-Greensboro,0.5447761194029851,11.6,0.5,true
69,Northern Kentucky,0.5447761194029851,11.6,0.5,true
70,Florida International,0.537313432835821,11.5,0.5,true
71,South Alabama,0.537313432835821,11.5,0.5,true
72,Texas Christian,0.537313432835821,11.5,0.5,true
73,Texas,0.537313432835821,11.5,0.5,true
74,Cal State Northridge,0.5298507462686568,11.4,0.5,true
75,Portland State,0.5298507462686568,11.4,0.5,true
76,Rhode Island,0.5298507462686568,11.4,0.5,true
77,Toledo,0.5298507462686568,11.4,0.5,true
78,Western Illinois,0.5298507462686568,11.4,0.5,true
79,Florida,0.5223880597014927,11.3,0.5,true
80,Rutgers,0.5223880597014927,11.3,0.5,true
81,Southern Methodist,0.5223880597014927,11.3,0.5,true
82,Wisconsin,0.5223880597014927,11.3,0.5,true
83,Marquette,0.5149253731343284,11.2,0.5,true
84,Nebraska,0.5149253731343284,11.2,0.5,true
85,Seton Hall,0.5149253731343284,11.2,0.5,true
86,Yale,0.5149253731343284,11.2,0.5,true
87,UC-Irvine,0.5074626865671642,11.1,0.5,true
88,Charlotte,0.5074626865671642,11.1,0.5,true
89,Howard,0.5074626865671642,11.1,0.5,true
90,Monmouth,0.5074626865671642,11.1,0.5,true
91,Nevada,0.5074626865671642,11.1,0.5,true
92,Northwestern,0.5074626865671642,11.1,0.5,true
93,Pittsburgh,0.5074626865671642,11.1,0.5,true
94,Portland,0.5074626865671642,11.1,0.5,true
95,Southern Mississippi,0.5074626865671642,11.1,0.5,true
96,Tennessee Tech,0.5074626865671642,11.1,0.5,true
97,Xavier,0.5074626865671642,11.1,0.5,true
98,American,0.5000000000000001,11.0,0.5,true
99,Brown,0.5000000000000001,11.0,0.5,true
100,Harvard,0.5000000000000001,11.0,0.5,true
101,Kansas,0.5000000000000001,11.0,0.5,true
102,Providence,0.5000000000000001,11.0,0.5,true
103,Central Connecticut State,0.4925373134328359,10.9,0.5,true
104,New Orleans,0.4925373134328359,10.9,0.5,true
105,Samford,0.4925373134328359,10.9,0.5,true
106,Green Bay,0.48507462686567177,10.8,0.5,true
107,Memphis,0.48507462686567177,10.8,0.5,true
108,Morehead State,0.48507462686567177,10.8,0.5,true
109,North Florida,0.48507462686567177,10.8,0.5,true
110,Stanford,0.48507462686567177,10.8,0.5,true
111,Cal State Bakersfield,0.47761194029850745,10.7,0.5,true
112,Eastern Illinois,0.47761194029850745,10.7,0.5,true
113,Florida A&M,0.47761194029850745,10.7,0.5,true
114,Lafayette,0.47761194029850745,10.7,0.5,true
115,Maine,0.47761194029850745,10.7,0.5,true
116,Sacred Heart,0.47761194029850745,10.7,0.5,true
117,Citadel,0.4701492537313433,10.6,0.5,true
118,Fresno State,0.4701492537313433,10.6,0.5,true
119,Georgetown,0.4701492537313433,10.6,0.5,true
120,Illinois-Chicago,0.4701492537313433,10.6,0.5,true
121,Marshall,0.4701492537313433,10.6,0.5,true
122,Michigan,0.4701492537313433,10.6,0.5,true
123,UCLA,0.4701492537313433,10.6,0.5,true
124,Buffalo,0.46268656716417916,10.5,0.5,true
125,Georgia Southern,0.46268656716417916,10.5,0.5,true
126,Loyola Marymount,0.455223880597015,10.4,0.5,true
127,Nicholls State,0.455223880597015,10.4,0.5,true
128,Penn State,0.455223880597015,10.4,0.5,true
129,St. Francis (NY),0.455223880597015,10.4,0.5,true
130,Vanderbilt,0.455223880597015,10.4,0.5,true
131,Minnesota,0.4477611940298509,10.3,0.5,true
132,Colgate,0.44029850746268656,10.2,0.5,true
133,Fairleigh Dickinson,0.44029850746268656,10.2,0.5,true
134,Kent State,0.44029850746268656,10.2,0.5,true
135,Niagara,0.44029850746268656,10.2,0.5,true
136,Campbell,0.4328358208955224,10.1,0.5,true
137,Central Arkansas,0.4328358208955224,10.1,0.5,true
138,Charleston Southern,0.4328358208955224,10.1,0.5,true
139,North Carolina State,0.4328358208955224,10.1,0.5,true
140,Ohio,0.4328358208955224,10.1,0.5,true
141,Radford,0.4328358208955224,10.1,0.5,true
142,Rider,0.4328358208955224,10.1,0.5,true
143,Saint Joseph's,0.4328358208955224,10.1,0.5,true
144,San Diego State,0.4328358208955224,10.1,0.5,true
145,Drake,0.42537313432835827,10.0,0.5,true
146,East Carolina,0.42537313432835827,10.0,0.5,true
147,Louisiana,0.42537313432835827,10.0,0.5,true
148,Louisiana Tech,0.42537313432835827,10.0,0.5,true
149,Sacramento State,0.42537313432835827,10.0,0.5,true
150,St. John's (NY),0.42537313432835827,10.0,0.5,true
151,Weber State,0.42537313432835827,10.0,0.5,true
152,University of California,0.4179104477611941,9.9,0.5,true
153,Fordham,0.4179104477611941,9.9,0.5,true
154,South Florida,0.4179104477611941,9.9,0.5,true
155,Youngstown State,0.4179104477611941,9.9,0.5,true
156,Alcorn State,0.41044776119403,9.8,0.5,true
157,High Point,0.41044776119403,9.8,0.5,true
158,Mississippi,0.41044776119403,9.8,0.5,true
159,North Carolina,0.41044776119403,9.8,0.5,true
160,Arizona State,0.40298507462686567,9.7,0.5,true
161,Canisius,0.40298507462686567,9.7,0.5,true
162,Illinois State,0.40298507462686567,9.7,0.5,true
163,Mount St. Mary's,0.40298507462686567,9.7,0.5,true
164,Towson,0.40298507462686567,9.7,0.5,true
165,Nevada-Las Vegas,0.3955223880597015,9.6,0.5,true
166,Wichita State,0.3955223880597015,9.6,0.5,true
167,Coppin State,0.3880597014925374,9.5,0.5,true
168,Hampton,0.3880597014925374,9.5,0.5,true
169,Santa Clara,0.3880597014925374,9.5,0.5,true
170,Arkansas-Pine Bluff,0.38059701492537323,9.4,0.5,true
171,Milwaukee,0.38059701492537323,9.4,0.5,true
