


,BLK_Def_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,New Mexico State,1.0,1.8823529411764706,0.5,true
2,Gonzaga,0.9836292014119814,1.9393939393939394,0.5,true
3,Troy,0.975801913337085,1.9666666666666666,0.5,true
4,Campbell,0.9662352279122116,2.0,0.5,true
5,Elon,0.9662352279122116,2.0,0.5,true
6,Northeastern,0.9401442676625569,2.090909090909091,0.5,true
7,UC-Riverside,0.931447280912672,2.121212121212121,0.5,true
8,Colorado State,0.9213913899831176,2.15625,0.5,true
9,North Dakota,0.9088351153629712,2.2,0.5,true
10,Davidson,0.9053563206630174,2.212121212121212,0.5,true
11,Lafayette,0.8897017445132245,2.2666666666666666,0.5,true
12,Hawaii,0.8829124838891208,2.2903225806451615,0.5,true
13,Houston,0.8818232976927406,2.2941176470588234,0.5,true
14,Villanova,0.8818232976927406,2.2941176470588234,0.5,true
15,North Carolina-Wilmington,0.8792653604133626,2.303030303030303,0.5,true
16,Siena,0.8792653604133626,2.303030303030303,0.5,true
17,Florida Atlantic,0.8765475520540236,2.3125,0.5,true
18,Montana State,0.8675787844682048,2.34375,0.5,true
19,Towson,0.8675787844682048,2.34375,0.5,true
20,Ohio,0.8643963185506562,2.3548387096774195,0.5,true
21,Maine,0.858610016882386,2.375,0.5,true
22,Northern Iowa,0.8564997186268992,2.3823529411764706,0.5,true
23,Saint Joseph's,0.8531744001637079,2.393939393939394,0.5,true
24,Nevada,0.8444774134138231,2.4242424242424243,0.5,true
25,St. John's (NY),0.8444774134138231,2.4242424242424243,0.5,true
26,Texas Tech,0.8406724817107485,2.4375,0.5,true
27,Nevada-Las Vegas,0.8366220705429592,2.4516129032258065,0.5,true
28,California Baptist,0.8323016319639842,2.466666666666667,0.5,true
29,Old Dominion,0.831176139561058,2.4705882352941178,0.5,true
30,Washington,0.831176139561058,2.4705882352941178,0.5,true
31,Bradley,0.8227349465391108,2.5,0.5,true
32,Maryland-Baltimore County,0.8142937535171637,2.5294117647058822,0.5,true
33,Tennessee,0.8142937535171637,2.5294117647058822,0.5,true
34,Temple,0.8137661789532921,2.53125,0.5,true
35,Virginia Commonwealth,0.8137661789532921,2.53125,0.5,true
36,Washington State,0.8137661789532921,2.53125,0.5,true
37,Central Arkansas,0.8096894664142835,2.5454545454545454,0.5,true
38,Coppin State,0.8096894664142835,2.5454545454545454,0.5,true
39,Jacksonville State,0.8096894664142835,2.5454545454545454,0.5,true
40,Presbyterian,0.8096894664142835,2.5454545454545454,0.5,true
41,Wofford,0.8096894664142835,2.5454545454545454,0.5,true
42,Little Rock,0.8088478225352624,2.5483870967741935,0.5,true
