


,CompleteComp
Rank,Name,Val,Normalized,Weight,Enabled
1,Gonzaga,1.0,0.8938546920958662,0.5,true
2,Duke,0.9878845084142422,0.8844863985641165,0.5,true
3,Virginia,0.9781923735706074,0.8769919635656053,0.5,true
4,Michigan State,0.9522867994502792,0.8569605004796973,0.5,true
5,Kentucky,0.9276836390111517,0.8379361276615586,0.5,true
6,North Carolina,0.9131695870186562,0.8267131493417506,0.5,true
7,Michigan,0.9100890722976633,0.824331143962038,0.5,true
8,Tennessee,0.8876013975199533,0.8069425686266578,0.5,true
9,Houston,0.852021586909129,0.7794305104285324,0.5,true
10,Texas Tech,0.8494643337935855,0.7774531166387868,0.5,true
11,Purdue,0.8444861209152612,0.7736037177780337,0.5,true
12,Louisiana State,0.8432157696705567,0.7726214197619297,0.5,true
13,Florida State,0.8290444834268916,0.761663484764957,0.5,true
14,Buffalo,0.8277023607753323,0.7606256895697379,0.5,true
15,Nevada,0.8260676620120109,0.7593616601457246,0.5,true
16,Auburn,0.810187299808971,0.747082183621349,0.5,true
17,Cincinnati,0.7985529561858742,0.7380859373412114,0.5,true
18,Wofford,0.7958793537174373,0.7360185765136102,0.5,true
19,Virginia Tech,0.7904674459184865,0.7318338234255113,0.5,true
20,Wisconsin,0.7811103503113654,0.7245984572307789,0.5,true
21,New Mexico State,0.7722080655500468,0.7177147731345186,0.5,true
22,Maryland,0.768743277757571,0.7150356289301436,0.5,true
23,Villanova,0.7677706714907507,0.7142835619641525,0.5,true
24,Kansas,0.7676869273735967,0.7142188068970137,0.5,true
25,Iowa State,0.7651946591338818,0.7122916626070575,0.5,true
26,Mississippi State,0.7648360974116828,0.7120144050612919,0.5,true
27,Louisville,0.7640931782194882,0.711439943429786,0.5,true
28,Kansas State,0.7630589958005946,0.710640262756741,0.5,true
29,Utah State,0.752861798267981,0.7027552884648965,0.5,true
30,Marquette,0.7518602497115954,0.7019808418981925,0.5,true
31,Virginia Commonwealth,0.7505846664731844,0.7009944982474189,0.5,true
32,Central Florida,0.7424178683527226,0.694679528568684,0.5,true
33,Iowa,0.7346318816908027,0.6886590210253583,0.5,true
34,Washington,0.724876258910167,0.6811154940337291,0.5,true
35,Clemson,0.7247376206394487,0.6810082921091822,0.5,true
36,Murray State,0.7203105746382847,0.6775850825659379,0.5,true
37,Nebraska,0.7101266920145525,0.6697104040160256,0.5,true
38,Florida,0.7090670353152883,0.6688910253774186,0.5,true
39,Toledo,0.7084947128183778,0.6684484774949881,0.5,true
40,North Carolina State,0.7084684453692148,0.6684281662123343,0.5,true
41,Minnesota,0.6983694324840991,0.6606191131153963,0.5,true
42,Lipscomb,0.6957021185129212,0.6585566148629353,0.5,true
43,Saint Mary's (CA),0.693541094960965,0.6568856052451705,0.5,true
44,Belmont,0.6889046941677662,0.6533005122876067,0.5,true
45,Mississippi,0.6839988702432531,0.6495070881236259,0.5,true
46,Baylor,0.6833573159532729,0.6490110068162728,0.5,true
47,Ohio State,0.6830403655102782,0.6487659251566493,0.5,true
48,Indiana,0.682695009767355,0.6484988791230915,0.5,true
49,Furman,0.6818650351094266,0.6478571019269828,0.5,true
50,Texas,0.6796675710604622,0.6461579147259973,0.5,true
51,Syracuse,0.6793734132543179,0.6459304574533716,0.5,true
52,Oregon,0.6787174630371517,0.6454232445076047,0.5,true
53,Texas Christian,0.6725648711191224,0.6406657580563799,0.5,true
54,Vermont,0.6694065257929613,0.6382235702276261,0.5,true
55,Oklahoma,0.6659081072755291,0.6355184210938722,0.5,true
56,North Carolina-Greensboro,0.6647776090687597,0.634644264320029,0.5,true
57,Temple,0.6640527945629286,0.6340838021218068,0.5,true
58,Arizona State,0.6606192218939166,0.6314287949850175,0.5,true
59,UC-Irvine,0.658229511780829,0.6295809536789732,0.5,true
60,Creighton,0.6544417599799786,0.6266520778306753,0.5,true
