


,FG%_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Houston,1.0,0.367,0.5,true
2,Texas Tech,0.992,0.368,0.5,true
3,Michigan State,0.9119999999999999,0.378,0.5,true
4,UC-Irvine,0.8959999999999999,0.38,0.5,true
5,Virginia,0.8959999999999999,0.38,0.5,true
6,Virginia Commonwealth,0.8639999999999999,0.384,0.5,true
7,Grambling,0.8319999999999999,0.388,0.5,true
8,Gonzaga,0.8239999999999998,0.389,0.5,true
9,Old Dominion,0.8079999999999998,0.391,0.5,true
10,Utah State,0.8079999999999998,0.391,0.5,true
11,Wisconsin,0.7919999999999998,0.393,0.5,true
12,Central Florida,0.7759999999999998,0.395,0.5,true
13,Duke,0.7759999999999998,0.395,0.5,true
14,Stony Brook,0.7759999999999998,0.395,0.5,true
15,Akron,0.7679999999999998,0.396,0.5,true
16,Maryland,0.7599999999999998,0.397,0.5,true
17,Syracuse,0.7519999999999998,0.398,0.5,true
18,Michigan,0.7439999999999998,0.399,0.5,true
19,Southern Mississippi,0.7439999999999998,0.399,0.5,true
20,Tennessee,0.7439999999999998,0.399,0.5,true
21,Georgia Tech,0.7279999999999998,0.401,0.5,true
22,Marquette,0.7199999999999998,0.402,0.5,true
23,Oklahoma,0.7199999999999998,0.402,0.5,true
24,Oregon,0.7199999999999998,0.402,0.5,true
25,St. Bonaventure,0.7199999999999998,0.402,0.5,true
26,Kentucky,0.7119999999999997,0.403,0.5,true
27,Clemson,0.6959999999999997,0.405,0.5,true
28,Davidson,0.6959999999999997,0.405,0.5,true
29,Louisville,0.6959999999999997,0.405,0.5,true
30,Cincinnati,0.6879999999999997,0.406,0.5,true
31,Norfolk State,0.6879999999999997,0.406,0.5,true
32,Seattle,0.6879999999999997,0.406,0.5,true
33,Virginia Tech,0.6879999999999997,0.406,0.5,true
34,North Texas,0.6800000000000002,0.407,0.5,true
35,Florida Atlantic,0.6720000000000002,0.408,0.5,true
36,Kansas,0.6720000000000002,0.408,0.5,true
37,Florida State,0.6640000000000001,0.409,0.5,true
38,Nevada,0.6640000000000001,0.409,0.5,true
39,Pittsburgh,0.6640000000000001,0.409,0.5,true
40,Saint Louis,0.6640000000000001,0.409,0.5,true
41,Texas State,0.6640000000000001,0.409,0.5,true
42,Tulsa,0.6640000000000001,0.409,0.5,true
43,Murray State,0.6560000000000001,0.41,0.5,true
44,San Diego State,0.6560000000000001,0.41,0.5,true
45,Texas A&M-Corpus Christi,0.6560000000000001,0.41,0.5,true
46,Bradley,0.6480000000000001,0.411,0.5,true
47,Longwood,0.6480000000000001,0.411,0.5,true
48,Toledo,0.6480000000000001,0.411,0.5,true
49,Yale,0.6480000000000001,0.411,0.5,true
50,Gardner-Webb,0.6400000000000001,0.412,0.5,true
51,Lipscomb,0.6400000000000001,0.412,0.5,true
52,Alabama-Birmingham,0.6320000000000001,0.413,0.5,true
53,Arizona State,0.6320000000000001,0.413,0.5,true
54,Bethune-Cookman,0.6320000000000001,0.413,0.5,true
55,Dayton,0.6320000000000001,0.413,0.5,true
56,Jacksonville State,0.6320000000000001,0.413,0.5,true
57,North Carolina,0.6320000000000001,0.413,0.5,true
58,Brown,0.6240000000000001,0.414,0.5,true
59,Kansas State,0.6240000000000001,0.414,0.5,true
60,Washington,0.6240000000000001,0.414,0.5,true
61,Ball State,0.6160000000000001,0.415,0.5,true
62,Liberty,0.6160000000000001,0.415,0.5,true
63,Furman,0.6000000000000001,0.417,0.5,true
64,Nebraska,0.6000000000000001,0.417,0.5,true
65,Northern Kentucky,0.6000000000000001,0.417,0.5,true
66,Buffalo,0.5920000000000001,0.418,0.5,true
67,Maryland-Baltimore County,0.5920000000000001,0.418,0.5,true
68,New Mexico State,0.5920000000000001,0.418,0.5,true
69,Samford,0.5920000000000001,0.418,0.5,true
70,South Dakota State,0.5920000000000001,0.418,0.5,true
71,Fresno State,0.5840000000000001,0.419,0.5,true
72,Illinois-Chicago,0.5840000000000001,0.419,0.5,true
73,Iowa State,0.5840000000000001,0.419,0.5,true
74,Western Kentucky,0.5840000000000001,0.419,0.5,true
75,Boston College,0.5760000000000001,0.42,0.5,true
76,Monmouth,0.5760000000000001,0.42,0.5,true
77,Northwestern,0.5760000000000001,0.42,0.5,true
78,Ohio State,0.5760000000000001,0.42,0.5,true
79,Vermont,0.5760000000000001,0.42,0.5,true
80,Jackson State,0.5680000000000001,0.421,0.5,true
81,Purdue,0.5680000000000001,0.421,0.5,true
82,Texas-El Paso,0.5680000000000001,0.421,0.5,true
83,Wichita State,0.5680000000000001,0.421,0.5,true
84,Baylor,0.56,0.422,0.5,true
85,Georgia State,0.56,0.422,0.5,true
86,High Point,0.56,0.422,0.5,true
87,Loyola Marymount,0.56,0.422,0.5,true
88,Memphis,0.56,0.422,0.5,true
89,Texas A&M,0.56,0.422,0.5,true
90,Florida,0.552,0.423,0.5,true
91,Indiana,0.552,0.423,0.5,true
92,Long Island University,0.552,0.423,0.5,true
93,NJIT,0.552,0.423,0.5,true
94,South Carolina,0.552,0.423,0.5,true
95,Texas-Arlington,0.552,0.423,0.5,true
96,Colorado,0.544,0.424,0.5,true
97,South Florida,0.544,0.424,0.5,true
98,UCLA,0.544,0.424,0.5,true
99,Arkansas,0.536,0.425,0.5,true
100,Belmont,0.536,0.425,0.5,true
101,California Baptist,0.536,0.425,0.5,true
102,Rutgers,0.536,0.425,0.5,true
103,Bowling Green State,0.528,0.426,0.5,true
104,UC-Santa Barbara,0.528,0.426,0.5,true
105,Georgia,0.528,0.426,0.5,true
106,North Carolina A&T,0.528,0.426,0.5,true
107,Rhode Island,0.528,0.426,0.5,true
108,Southern California,0.528,0.426,0.5,true
109,Louisiana Tech,0.52,0.427,0.5,true
110,Seton Hall,0.52,0.427,0.5,true
111,Southern Illinois,0.52,0.427,0.5,true
112,Utah Valley,0.52,0.427,0.5,true
113,Wofford,0.52,0.427,0.5,true
114,Drake,0.512,0.428,0.5,true
115,Florida A&M,0.512,0.428,0.5,true
116,Oklahoma State,0.512,0.428,0.5,true
117,Southern Methodist,0.512,0.428,0.5,true
118,Texas-San Antonio,0.512,0.428,0.5,true
119,Weber State,0.512,0.428,0.5,true
120,Cal State Fullerton,0.504,0.429,0.5,true
121,Coppin State,0.504,0.429,0.5,true
122,Notre Dame,0.504,0.429,0.5,true
123,St. Francis (NY),0.504,0.429,0.5,true
124,Texas,0.504,0.429,0.5,true
125,Abilene Christian,0.496,0.43,0.5,true
126,East Tennessee State,0.496,0.43,0.5,true
127,Eastern Michigan,0.496,0.43,0.5,true
128,Hampton,0.496,0.43,0.5,true
129,Missouri,0.496,0.43,0.5,true
130,Providence,0.496,0.43,0.5,true
131,Texas Christian,0.496,0.43,0.5,true
132,Wagner,0.496,0.43,0.5,true
133,Coastal Carolina,0.488,0.431,0.5,true
134,Georgetown,0.488,0.431,0.5,true
135,Lehigh,0.488,0.431,0.5,true
136,Montana,0.488,0.431,0.5,true
137,Stanford,0.488,0.431,0.5,true
138,Fordham,0.48,0.432,0.5,true
139,Miami (OH),0.48,0.432,0.5,true
140,Middle Tennessee,0.48,0.432,0.5,true
141,Oregon State,0.48,0.432,0.5,true
142,Princeton,0.48,0.432,0.5,true
143,Sam Houston State,0.48,0.432,0.5,true
144,Santa Clara,0.48,0.432,0.5,true
145,Southern Utah,0.48,0.432,0.5,true
146,Valparaiso,0.48,0.432,0.5,true
147,Auburn,0.472,0.433,0.5,true
148,Charleston Southern,0.472,0.433,0.5,true
149,Northern Illinois,0.472,0.433,0.5,true
150,Pennsylvania,0.472,0.433,0.5,true
151,San Francisco,0.472,0.433,0.5,true
152,Vanderbilt,0.472,0.433,0.5,true
153,Winthrop,0.472,0.433,0.5,true
154,Xavier,0.472,0.433,0.5,true
155,Colgate,0.46399999999999997,0.434,0.5,true
156,Manhattan,0.46399999999999997,0.434,0.5,true
157,Minnesota,0.46399999999999997,0.434,0.5,true
158,North Carolina Central,0.46399999999999997,0.434,0.5,true
159,Northwestern State,0.46399999999999997,0.434,0.5,true
160,Radford,0.46399999999999997,0.434,0.5,true
161,Saint Peter's,0.46399999999999997,0.434,0.5,true
162,Villanova,0.46399999999999997,0.434,0.5,true
163,Bucknell,0.45599999999999996,0.435,0.5,true
164,Loyola (IL),0.45599999999999996,0.435,0.5,true
165,North Carolina-Greensboro,0.45599999999999996,0.435,0.5,true
166,North Florida,0.45599999999999996,0.435,0.5,true
167,St. John's (NY),0.45599999999999996,0.435,0.5,true
168,Louisiana State,0.44799999999999995,0.436,0.5,true
169,New Orleans,0.44799999999999995,0.436,0.5,true
170,Ohio,0.44799999999999995,0.436,0.5,true
171,Saint Mary's (CA),0.44799999999999995,0.436,0.5,true
172,Stephen F. Austin,0.44799999999999995,0.436,0.5,true
173,Towson,0.44799999999999995,0.436,0.5,true
174,Alabama,0.43999999999999995,0.437,0.5,true
175,American,0.43999999999999995,0.437,0.5,true
176,Grand Canyon,0.43999999999999995,0.437,0.5,true
177,Harvard,0.43999999999999995,0.437,0.5,true
178,Howard,0.43999999999999995,0.437,0.5,true
179,Mississippi State,0.43999999999999995,0.437,0.5,true
180,North Carolina State,0.43999999999999995,0.437,0.5,true
181,Saint Joseph's,0.43999999999999995,0.437,0.5,true
182,San Diego,0.43999999999999995,0.437,0.5,true
183,Texas-Rio Grande Valley,0.43999999999999995,0.437,0.5,true
184,Central Arkansas,0.43199999999999994,0.438,0.5,true
185,Charlotte,0.43199999999999994,0.438,0.5,true
186,Cornell,0.43199999999999994,0.438,0.5,true
187,Cal State Bakersfield,0.42399999999999993,0.439,0.5,true
188,Columbia,0.42399999999999993,0.439,0.5,true
189,Connecticut,0.42399999999999993,0.439,0.5,true
190,George Mason,0.42399999999999993,0.439,0.5,true
191,Milwaukee,0.42399999999999993,0.439,0.5,true
192,Little Rock,0.4159999999999999,0.44,0.5,true
193,Brigham Young,0.4159999999999999,0.44,0.5,true
194,Central Connecticut State,0.4159999999999999,0.44,0.5,true
195,Mercer,0.4159999999999999,0.44,0.5,true
196,Northern Iowa,0.4159999999999999,0.44,0.5,true
197,Duquesne,0.4079999999999999,0.441,0.5,true
198,Evansville,0.4079999999999999,0.441,0.5,true
199,George Washington,0.4079999999999999,0.441,0.5,true
200,Illinois State,0.4079999999999999,0.441,0.5,true
