


,FG%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Gonzaga,1.0,0.532,0.5,true
2,Dayton,0.8370786516853932,0.503,0.5,true
3,South Dakota State,0.8370786516853932,0.503,0.5,true
4,Belmont,0.8146067415730336,0.499,0.5,true
5,Georgia Southern,0.8146067415730336,0.499,0.5,true
6,Yale,0.8089887640449437,0.498,0.5,true
7,Montana,0.8033707865168538,0.497,0.5,true
8,Tennessee,0.8033707865168538,0.497,0.5,true
9,Murray State,0.7977528089887639,0.496,0.5,true
10,Loyola (IL),0.7808988764044943,0.493,0.5,true
11,Wofford,0.7808988764044943,0.493,0.5,true
12,Liberty,0.7696629213483145,0.491,0.5,true
13,Gardner-Webb,0.7528089887640448,0.488,0.5,true
14,Hofstra,0.7528089887640448,0.488,0.5,true
15,Michigan State,0.741573033707865,0.486,0.5,true
16,Utah Valley,0.741573033707865,0.486,0.5,true
17,East Tennessee State,0.7359550561797751,0.485,0.5,true
18,Little Rock,0.7303370786516852,0.484,0.5,true
19,College of Charleston,0.7247191011235954,0.483,0.5,true
20,Lehigh,0.7247191011235954,0.483,0.5,true
21,Lipscomb,0.7247191011235954,0.483,0.5,true
22,Creighton,0.7191011235955055,0.482,0.5,true
23,Northeastern,0.7191011235955055,0.482,0.5,true
24,Purdue-Fort Wayne,0.7134831460674156,0.481,0.5,true
25,Northern Kentucky,0.7134831460674156,0.481,0.5,true
26,Boston University,0.7078651685393257,0.48,0.5,true
27,Colgate,0.7078651685393257,0.48,0.5,true
28,Fairleigh Dickinson,0.6966292134831459,0.478,0.5,true
29,Kentucky,0.6966292134831459,0.478,0.5,true
30,Virginia,0.6966292134831459,0.478,0.5,true
31,Duke,0.691011235955056,0.477,0.5,true
32,Iowa State,0.691011235955056,0.477,0.5,true
33,Colorado State,0.6853932584269661,0.476,0.5,true
34,Furman,0.6853932584269661,0.476,0.5,true
35,Virginia Tech,0.6853932584269661,0.476,0.5,true
36,Weber State,0.6853932584269661,0.476,0.5,true
37,American,0.6797752808988762,0.475,0.5,true
38,Omaha,0.6797752808988762,0.475,0.5,true
39,Abilene Christian,0.6741573033707863,0.474,0.5,true
40,Saint Mary's (CA),0.6741573033707863,0.474,0.5,true
41,Utah State,0.6741573033707863,0.474,0.5,true
42,William & Mary,0.6741573033707863,0.474,0.5,true
43,Austin Peay,0.6629213483146066,0.472,0.5,true
44,Massachusetts-Lowell,0.6629213483146066,0.472,0.5,true
45,Mississippi State,0.6629213483146066,0.472,0.5,true
46,Richmond,0.6629213483146066,0.472,0.5,true
47,Samford,0.6629213483146066,0.472,0.5,true
48,Texas Tech,0.6629213483146066,0.472,0.5,true
49,Drake,0.6573033707865167,0.471,0.5,true
50,Northern Illinois,0.6573033707865167,0.471,0.5,true
