


,FG_Def_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,Texas Tech,1.0,19.5625,0.5,true
2,Virginia,0.9722072798995876,19.875,0.5,true
3,Houston,0.9349323376472698,20.294117647058822,0.5,true
4,Manhattan,0.9332974717590102,20.3125,0.5,true
5,Old Dominion,0.8669219166956723,21.058823529411764,0.5,true
6,Kansas State,0.8667633842459015,21.060606060606062,0.5,true
7,Virginia Commonwealth,0.8554778554778555,21.1875,0.5,true
8,Loyola Marymount,0.8463331540254618,21.29032258064516,0.5,true
9,Oregon,0.8416609031993648,21.34285714285714,0.5,true
10,Texas State,0.8263376095543927,21.515151515151516,0.5,true
11,Virginia Tech,0.8221265913573605,21.5625,0.5,true
12,Cincinnati,0.8119904228501513,21.676470588235293,0.5,true
13,Jackson State,0.8110095033171956,21.6875,0.5,true
14,Texas A&M-Corpus Christi,0.8110095033171956,21.6875,0.5,true
15,UC-Irvine,0.8086272701657315,21.714285714285715,0.5,true
16,North Texas,0.804777196385588,21.757575757575758,0.5,true
17,Syracuse,0.804777196385588,21.757575757575758,0.5,true
18,Liberty,0.8015272811652903,21.794117647058822,0.5,true
19,Maryland-Baltimore County,0.7989114957440748,21.823529411764707,0.5,true
20,Abilene Christian,0.7913019381550849,21.90909090909091,0.5,true
21,Wagner,0.786181340027494,21.966666666666665,0.5,true
22,St. Bonaventure,0.7779852123743527,22.058823529411764,0.5,true
23,Clemson,0.7776582391967007,22.0625,0.5,true
24,Cal State Bakersfield,0.76313430159584,22.225806451612904,0.5,true
25,Saint Louis,0.7628883936576245,22.228571428571428,0.5,true
26,Bradley,0.762290499847061,22.235294117647058,0.5,true
27,South Florida,0.7554240631163708,22.3125,0.5,true
28,Loyola (IL),0.7535712151096767,22.333333333333332,0.5,true
29,Michigan,0.7518273581621999,22.352941176470587,0.5,true
30,Florida,0.7439800018985538,22.441176470588236,0.5,true
31,New Mexico State,0.7439800018985538,22.441176470588236,0.5,true
32,Washington,0.7439800018985538,22.441176470588236,0.5,true
33,Utah State,0.7387484310561233,22.5,0.5,true
34,Monmouth,0.7374779067086757,22.514285714285716,0.5,true
35,Wisconsin,0.7293157502947714,22.606060606060606,0.5,true
36,Stony Brook,0.7276313430159584,22.625,0.5,true
37,Vermont,0.7266206986486706,22.636363636363637,0.5,true
38,Davidson,0.7239256470025699,22.666666666666668,0.5,true
39,Florida A&M,0.7201004124081045,22.70967741935484,0.5,true
40,Saint Peter's,0.7165142549757935,22.75,0.5,true
41,Southern Mississippi,0.7165142549757935,22.75,0.5,true
42,Florida State,0.7152063622651856,22.764705882352942,0.5,true
43,Norfolk State,0.7125905768439705,22.794117647058822,0.5,true
44,Purdue,0.7053971669356285,22.875,0.5,true
45,Grambling,0.7050602854798658,22.87878787878788,0.5,true
46,Robert Morris,0.6942800788954635,23.0,0.5,true
47,Akron,0.6915850272493628,23.03030303030303,0.5,true
48,Missouri,0.688721534875381,23.0625,0.5,true
49,Central Florida,0.6885422270037653,23.06451612903226,0.5,true
50,Auburn,0.686656932810779,23.085714285714285,0.5,true
51,Alabama-Birmingham,0.6838169372106024,23.11764705882353,0.5,true
52,Georgia Tech,0.6831629908552985,23.125,0.5,true
53,Ohio State,0.6781097690188598,23.181818181818183,0.5,true
54,Sam Houston State,0.677604446835216,23.1875,0.5,true
55,Baylor,0.6748251748251748,23.21875,0.5,true
56,Northwestern,0.6748251748251748,23.21875,0.5,true
57,Maryland,0.6720459028151335,23.25,0.5,true
58,Southeastern Louisiana,0.670024614080558,23.272727272727273,0.5,true
59,San Diego State,0.6681222246833107,23.294117647058822,0.5,true
60,Kentucky,0.6673295624344573,23.303030303030305,0.5,true
61,Fordham,0.666487358795051,23.3125,0.5,true
62,Michigan State,0.6655064392620953,23.323529411764707,0.5,true
63,Northern Iowa,0.6655064392620953,23.323529411764707,0.5,true
64,Longwood,0.6609288147749686,23.375,0.5,true
65,Seattle,0.6609288147749686,23.375,0.5,true
66,Wofford,0.6592444074961556,23.393939393939394,0.5,true
67,Missouri State,0.6581495427649273,23.40625,0.5,true
68,Fresno State,0.6553702707548861,23.4375,0.5,true
69,Rhode Island,0.6538543042039546,23.454545454545453,0.5,true
70,Wichita State,0.6538543042039546,23.454545454545453,0.5,true
71,Montana,0.652427512156019,23.470588235294116,0.5,true
72,Marist,0.6512461897077281,23.483870967741936,0.5,true
73,Pittsburgh,0.6403790459734515,23.606060606060606,0.5,true
74,Saint Mary's (CA),0.6403790459734515,23.606060606060606,0.5,true
75,Maine,0.6359153666845974,23.65625,0.5,true
76,Pacific,0.6359153666845974,23.65625,0.5,true
77,Texas-Rio Grande Valley,0.633294910217987,23.685714285714287,0.5,true
78,Northern Kentucky,0.6315012287862964,23.705882352941178,0.5,true
79,Tennessee,0.6315012287862964,23.705882352941178,0.5,true
80,Charlotte,0.6298776378351973,23.724137931034484,0.5,true
81,New Hampshire,0.6298776378351973,23.724137931034484,0.5,true
82,North Carolina-Greensboro,0.626269657943866,23.764705882352942,0.5,true
83,San Diego,0.6231307154384076,23.8,0.5,true
84,High Point,0.6168190783575398,23.870967741935484,0.5,true
85,Gonzaga,0.6161235811585462,23.87878787878788,0.5,true
86,Radford,0.6161235811585462,23.87878787878788,0.5,true
87,Valparaiso,0.6161235811585462,23.87878787878788,0.5,true
88,UC-Santa Barbara,0.6136811906042674,23.90625,0.5,true
89,Florida Atlantic,0.6136811906042674,23.90625,0.5,true
90,Marquette,0.6134285295124455,23.90909090909091,0.5,true
91,Northern Illinois,0.6131907308377897,23.91176470588235,0.5,true
92,Sacramento State,0.611081226465842,23.93548387096774,0.5,true
93,Louisville,0.6107334778663451,23.939393939393938,0.5,true
94,Texas,0.6081226465841849,23.96875,0.5,true
95,Nevada,0.6080384262202444,23.96969696969697,0.5,true
96,UC-Davis,0.5996055226824455,24.06451612903226,0.5,true
97,Boise State,0.597258219635842,24.09090909090909,0.5,true
98,South Carolina,0.59700555854402,24.09375,0.5,true
99,Nebraska,0.5948802328892826,24.11764705882353,0.5,true
100,Arkansas,0.5942262865339788,24.125,0.5,true
101,Fairfield,0.5938676707907476,24.129032258064516,0.5,true
102,Jacksonville State,0.5891730646975399,24.181818181818183,0.5,true
103,Texas-Arlington,0.5891730646975399,24.181818181818183,0.5,true
104,Arizona State,0.5858884705038551,24.21875,0.5,true
105,Campbell,0.5858884705038551,24.21875,0.5,true
106,Dayton,0.5831091984938138,24.25,0.5,true
107,Coastal Carolina,0.5823919670073516,24.258064516129032,0.5,true
108,Villanova,0.5818013057832061,24.264705882352942,0.5,true
109,Colorado,0.5810879097592383,24.272727272727273,0.5,true
110,East Tennessee State,0.5810879097592383,24.272727272727273,0.5,true
111,Penn State,0.5775506544737313,24.3125,0.5,true
112,St. Francis (NY),0.5775506544737313,24.3125,0.5,true
113,Arkansas-Pine Bluff,0.5747713824636901,24.34375,0.5,true
114,Rutgers,0.5737851891698045,24.35483870967742,0.5,true
115,Louisiana Tech,0.5730027548209367,24.363636363636363,0.5,true
116,Brown,0.5727332496563264,24.366666666666667,0.5,true
117,Providence,0.5703077031748359,24.393939393939394,0.5,true
118,Southern Illinois,0.5692128384436076,24.40625,0.5,true
119,Towson,0.5692128384436076,24.40625,0.5,true
120,North Carolina Central,0.5676126515287352,24.424242424242426,0.5,true
121,Texas-El Paso,0.5624084138672998,24.482758620689655,0.5,true
122,North Carolina State,0.5622225482365342,24.484848484848484,0.5,true
123,Lipscomb,0.560875022413484,24.5,0.5,true
124,Miami (OH),0.560875022413484,24.5,0.5,true
125,New Orleans,0.560875022413484,24.5,0.5,true
126,Prairie View,0.560875022413484,24.5,0.5,true
127,Stephen F. Austin,0.560875022413484,24.5,0.5,true
128,Connecticut,0.5595274965904335,24.515151515151516,0.5,true
129,NJIT,0.5568324449443329,24.545454545454547,0.5,true
130,Harvard,0.5562748480520362,24.551724137931036,0.5,true
131,Charleston Southern,0.5553164783934015,24.5625,0.5,true
132,Maryland-Eastern Shore,0.5553164783934015,24.5625,0.5,true
133,Siena,0.5541373932982325,24.575757575757574,0.5,true
134,Oregon State,0.5537027075488612,24.580645161290324,0.5,true
135,Arizona,0.5525372063833602,24.59375,0.5,true
136,Eastern Michigan,0.5525372063833602,24.59375,0.5,true
137,Furman,0.5525372063833602,24.59375,0.5,true
138,San Francisco,0.5479648556571634,24.64516129032258,0.5,true
139,Wright State,0.5477960953074074,24.647058823529413,0.5,true
140,Butler,0.5469786623632777,24.65625,0.5,true
141,Oklahoma State,0.5469786623632777,24.65625,0.5,true
142,Illinois-Chicago,0.5441993903532365,24.6875,0.5,true
143,North Carolina A&T,0.5441993903532365,24.6875,0.5,true
144,Illinois State,0.5433571867138302,24.696969696969695,0.5,true
145,Murray State,0.5393580778196162,24.741935483870968,0.5,true
146,Southern,0.538640846333154,24.75,0.5,true
147,Santa Clara,0.5364891518737673,24.774193548387096,0.5,true
148,Southern Methodist,0.5358615743231128,24.78125,0.5,true
149,Tulsa,0.5358615743231128,24.78125,0.5,true
150,Gardner-Webb,0.5347171682013312,24.794117647058822,0.5,true
151,Grand Canyon,0.5325769801294278,24.818181818181817,0.5,true
152,Lamar,0.5325769801294278,24.818181818181817,0.5,true
153,Seton Hall,0.5325769801294278,24.818181818181817,0.5,true
154,Indiana State,0.530751299982069,24.838709677419356,0.5,true
155,UC-Riverside,0.5298819284833272,24.848484848484848,0.5,true
156,Columbia,0.5291119137272982,24.857142857142858,0.5,true
157,Oklahoma,0.527523758292989,24.875,0.5,true
158,American,0.5253003406849561,24.9,0.5,true
159,Indiana,0.5247444862829478,24.90625,0.5,true
160,College of Charleston,0.5244918251911257,24.90909090909091,0.5,true
161,Mississippi,0.5219652142729065,24.9375,0.5,true
162,Hawaii,0.519275596198673,24.967741935483872,0.5,true
163,La Salle,0.519275596198673,24.967741935483872,0.5,true
164,Mississippi State,0.5191017218989247,24.96969696969697,0.5,true
165,Holy Cross,0.516406670252824,25.0,0.5,true
166,Kansas,0.516406670252824,25.0,0.5,true
167,Massachusetts,0.516406670252824,25.0,0.5,true
168,California Baptist,0.5134421134421132,25.033333333333335,0.5,true
169,South Dakota,0.5134421134421132,25.033333333333335,0.5,true
170,Tennessee State,0.5104775566314028,25.066666666666666,0.5,true
171,Toledo,0.5080688542227003,25.09375,0.5,true
172,Colgate,0.505943528567963,25.11764705882353,0.5,true
173,Iowa State,0.505943528567963,25.11764705882353,0.5,true
174,Mercer,0.5049309664694279,25.129032258064516,0.5,true
175,Western Kentucky,0.5033277431467476,25.147058823529413,0.5,true
176,St. John's (NY),0.5002363603762203,25.181818181818183,0.5,true
177,Utah Valley,0.5002363603762203,25.181818181818183,0.5,true
178,George Mason,0.4975413087301199,25.21212121212121,0.5,true
179,Albany (NY),0.49695176618253534,25.21875,0.5,true
180,Middle Tennessee,0.49695176618253534,25.21875,0.5,true
181,Alcorn State,0.49632418863188077,25.225806451612904,0.5,true
182,Duke,0.4954803868831018,25.235294117647058,0.5,true
183,Princeton,0.4909961833038756,25.285714285714285,0.5,true
184,Alabama A&M,0.48583467814237036,25.34375,0.5,true
185,Bethune-Cookman,0.48484848484848475,25.35483870967742,0.5,true
186,Presbyterian,0.48406605049961693,25.363636363636363,0.5,true
187,Buffalo,0.4824014597770253,25.38235294117647,0.5,true
188,East Carolina,0.4819795589026358,25.387096774193548,0.5,true
189,Temple,0.48027613412228787,25.40625,0.5,true
190,Memphis,0.4797856743558102,25.41176470588235,0.5,true
191,Alabama State,0.4791106329567868,25.419354838709676,0.5,true
192,Georgia State,0.4786759472074156,25.424242424242426,0.5,true
193,South Alabama,0.47455410351337957,25.470588235294116,0.5,true
194,Vanderbilt,0.47193831809216413,25.5,0.5,true
195,Cal State Fullerton,0.4705907922691138,25.515151515151516,0.5,true
196,Minnesota,0.4693225326709487,25.529411764705884,0.5,true
197,Southern Utah,0.4691590460821229,25.53125,0.5,true
198,Little Rock,0.4676349291733908,25.548387096774192,0.5,true
199,Northwestern State,0.4676349291733908,25.548387096774192,0.5,true
200,North Alabama,0.46637977407208164,25.5625,0.5,true
201,Drake,0.4652006889769128,25.575757575757574,0.5,true
202,Portland State,0.4636005020620404,25.59375,0.5,true
203,Texas Christian,0.4625056373308122,25.606060606060606,0.5,true
204,Fairleigh Dickinson,0.45981058568471145,25.636363636363637,0.5,true
205,Air Force,0.458041958041958,25.65625,0.5,true
206,Louisiana State,0.458041958041958,25.65625,0.5,true
207,Milwaukee,0.45615922538999465,25.677419354838708,0.5,true
208,Pennsylvania,0.45615922538999465,25.677419354838708,0.5,true
209,Boston College,0.45329029944414545,25.70967741935484,0.5,true
210,Arkansas State,0.45248341402187553,25.71875,0.5,true
211,Long Island University,0.45248341402187553,25.71875,0.5,true
212,George Washington,0.4517254307464097,25.727272727272727,0.5,true
213,Illinois,0.4517254307464097,25.727272727272727,0.5,true
214,Xavier,0.4517254307464097,25.727272727272727,0.5,true
215,Evansville,0.4497041420118343,25.75,0.5,true
216,Missouri-Kansas City,0.44692487000179304,25.78125,0.5,true
