


,FT%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Incarnate Word,1.0,0.81,0.5,true
2,Hofstra,0.9513274336283185,0.799,0.5,true
3,California Baptist,0.8805309734513274,0.783,0.5,true
4,Mississippi,0.8805309734513274,0.783,0.5,true
5,Central Connecticut State,0.8761061946902654,0.782,0.5,true
6,Hampton,0.8761061946902654,0.782,0.5,true
7,Louisiana-Monroe,0.8761061946902654,0.782,0.5,true
8,South Dakota State,0.8495575221238937,0.776,0.5,true
9,Lehigh,0.8451327433628317,0.775,0.5,true
10,Louisville,0.8451327433628317,0.775,0.5,true
11,North Dakota State,0.8407079646017699,0.774,0.5,true
12,Liberty,0.827433628318584,0.771,0.5,true
13,Toledo,0.827433628318584,0.771,0.5,true
14,La Salle,0.8230088495575221,0.77,0.5,true
15,Nicholls State,0.8230088495575221,0.77,0.5,true
16,Gonzaga,0.8097345132743362,0.767,0.5,true
17,College of Charleston,0.7964601769911503,0.764,0.5,true
18,Tennessee,0.7876106194690264,0.762,0.5,true
19,Pepperdine,0.7787610619469025,0.76,0.5,true
20,Denver,0.7743362831858406,0.759,0.5,true
21,Marquette,0.7743362831858406,0.759,0.5,true
22,Virginia Tech,0.7699115044247786,0.758,0.5,true
23,Campbell,0.7654867256637167,0.757,0.5,true
24,Sam Houston State,0.7654867256637167,0.757,0.5,true
25,Sacred Heart,0.7566371681415928,0.755,0.5,true
26,Washington State,0.7566371681415928,0.755,0.5,true
27,Louisiana State,0.7522123893805308,0.754,0.5,true
28,Tennessee-Martin,0.7522123893805308,0.754,0.5,true
29,Drake,0.7477876106194689,0.753,0.5,true
30,Drexel,0.7477876106194689,0.753,0.5,true
31,Lipscomb,0.7433628318584069,0.752,0.5,true
32,Vermont,0.7433628318584069,0.752,0.5,true
33,Northeastern,0.738938053097345,0.751,0.5,true
34,Saint Joseph's,0.738938053097345,0.751,0.5,true
35,Florida Atlantic,0.7345132743362831,0.75,0.5,true
36,Michigan State,0.7345132743362831,0.75,0.5,true
37,Bucknell,0.7300884955752212,0.749,0.5,true
38,Maryland,0.7256637168141592,0.748,0.5,true
39,Colorado,0.7212389380530972,0.747,0.5,true
40,Davidson,0.7212389380530972,0.747,0.5,true
41,Northern Iowa,0.7212389380530972,0.747,0.5,true
42,Pacific,0.7212389380530972,0.747,0.5,true
43,Utah State,0.7212389380530972,0.747,0.5,true
44,Milwaukee,0.7168141592920353,0.746,0.5,true
45,San Diego,0.7168141592920353,0.746,0.5,true
46,Virginia,0.7168141592920353,0.746,0.5,true
47,Weber State,0.7168141592920353,0.746,0.5,true
48,Albany (NY),0.7123893805309733,0.745,0.5,true
49,Saint Mary's (CA),0.7123893805309733,0.745,0.5,true
50,Lafayette,0.7079646017699114,0.744,0.5,true
51,Loyola Marymount,0.7079646017699114,0.744,0.5,true
52,Notre Dame,0.7079646017699114,0.744,0.5,true
53,Wagner,0.7079646017699114,0.744,0.5,true
54,Jacksonville State,0.7035398230088494,0.743,0.5,true
55,Charlotte,0.6991150442477875,0.742,0.5,true
56,Hartford,0.6991150442477875,0.742,0.5,true
57,Louisiana,0.6991150442477875,0.742,0.5,true
58,North Carolina,0.6991150442477875,0.742,0.5,true
59,Oakland,0.6991150442477875,0.742,0.5,true
60,Oregon State,0.6991150442477875,0.742,0.5,true
61,South Carolina State,0.6991150442477875,0.742,0.5,true
62,St. Bonaventure,0.6991150442477875,0.742,0.5,true
63,Colgate,0.6946902654867255,0.741,0.5,true
64,Florida State,0.6946902654867255,0.741,0.5,true
65,Iona,0.6946902654867255,0.741,0.5,true
66,North Carolina-Asheville,0.6946902654867255,0.741,0.5,true
67,Texas-Arlington,0.6946902654867255,0.741,0.5,true
68,Iowa,0.6902654867256636,0.74,0.5,true
69,Kentucky,0.6902654867256636,0.74,0.5,true
70,South Dakota,0.6902654867256636,0.74,0.5,true
71,Princeton,0.6858407079646016,0.739,0.5,true
72,Belmont,0.6814159292035397,0.738,0.5,true
73,Murray State,0.6814159292035397,0.738,0.5,true
74,Winthrop,0.6814159292035397,0.738,0.5,true
75,Butler,0.6769911504424777,0.737,0.5,true
76,Montana State,0.6769911504424777,0.737,0.5,true
77,Texas-San Antonio,0.6769911504424777,0.737,0.5,true
78,Citadel,0.6725663716814158,0.736,0.5,true
79,Niagara,0.6725663716814158,0.736,0.5,true
80,Wright State,0.6725663716814158,0.736,0.5,true
81,Yale,0.6725663716814158,0.736,0.5,true
82,Arkansas State,0.6681415929203538,0.735,0.5,true
83,Georgetown,0.6681415929203538,0.735,0.5,true
84,Idaho State,0.6681415929203538,0.735,0.5,true
85,Miami (FL),0.6681415929203538,0.735,0.5,true
86,Northwestern,0.6681415929203538,0.735,0.5,true
87,Clemson,0.6637168141592918,0.734,0.5,true
88,Ohio State,0.6637168141592918,0.734,0.5,true
89,Grand Canyon,0.6592920353982299,0.733,0.5,true
90,North Carolina-Wilmington,0.6592920353982299,0.733,0.5,true
91,Iowa State,0.6548672566371679,0.732,0.5,true
