


,FTr_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Notre Dame,1.0,0.218,0.5,true
2,Miami (FL),0.9713375796178344,0.227,0.5,true
3,Furman,0.9490445859872612,0.234,0.5,true
4,Dayton,0.9426751592356688,0.236,0.5,true
5,Iowa State,0.9426751592356688,0.236,0.5,true
6,Loyola (IL),0.9426751592356688,0.236,0.5,true
7,South Dakota State,0.9426751592356688,0.236,0.5,true
8,Purdue-Fort Wayne,0.9331210191082803,0.239,0.5,true
9,Duke,0.9299363057324841,0.24,0.5,true
10,Oklahoma,0.9267515923566879,0.241,0.5,true
11,Binghamton,0.910828025477707,0.246,0.5,true
12,Xavier,0.9076433121019108,0.247,0.5,true
13,Michigan,0.9012738853503185,0.249,0.5,true
14,Gonzaga,0.8949044585987261,0.251,0.5,true
15,Hofstra,0.8885350318471338,0.253,0.5,true
16,Niagara,0.8885350318471338,0.253,0.5,true
17,North Dakota State,0.8789808917197452,0.256,0.5,true
18,Southern Illinois,0.8789808917197452,0.256,0.5,true
19,Western Kentucky,0.8789808917197452,0.256,0.5,true
20,Pennsylvania,0.8757961783439491,0.257,0.5,true
21,Wisconsin,0.8694267515923567,0.259,0.5,true
22,Dartmouth,0.8598726114649682,0.262,0.5,true
23,Vermont,0.8598726114649682,0.262,0.5,true
24,Omaha,0.8566878980891719,0.263,0.5,true
25,Virginia Tech,0.8535031847133758,0.264,0.5,true
26,College of Charleston,0.8503184713375795,0.265,0.5,true
27,Maryland,0.8503184713375795,0.265,0.5,true
28,Quinnipiac,0.8503184713375795,0.265,0.5,true
29,Cornell,0.8407643312101911,0.268,0.5,true
30,Holy Cross,0.8407643312101911,0.268,0.5,true
31,McNeese State,0.8407643312101911,0.268,0.5,true
32,Tennessee-Martin,0.8407643312101911,0.268,0.5,true
33,Toledo,0.8407643312101911,0.268,0.5,true
34,Western Illinois,0.8375796178343948,0.269,0.5,true
35,Texas A&M,0.8343949044585988,0.27,0.5,true
36,Kentucky,0.8312101910828025,0.271,0.5,true
37,Saint Joseph's,0.8312101910828025,0.271,0.5,true
