


,FTr_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,South Florida,1.0,0.5,0.5,true
2,Central Florida,0.8723404255319149,0.464,0.5,true
3,Texas-Rio Grande Valley,0.7907801418439716,0.441,0.5,true
4,Arizona State,0.7730496453900708,0.436,0.5,true
5,Prairie View,0.7695035460992907,0.435,0.5,true
6,Tulsa,0.7659574468085105,0.434,0.5,true
7,Grambling,0.7624113475177304,0.433,0.5,true
8,Kentucky,0.7340425531914893,0.425,0.5,true
9,Iowa,0.726950354609929,0.423,0.5,true
10,Pittsburgh,0.726950354609929,0.423,0.5,true
11,Texas Southern,0.7198581560283687,0.421,0.5,true
12,Central Michigan,0.7163120567375886,0.42,0.5,true
13,Minnesota,0.7163120567375886,0.42,0.5,true
14,Houston Baptist,0.7092198581560283,0.418,0.5,true
15,Little Rock,0.7056737588652481,0.417,0.5,true
16,Arkansas-Pine Bluff,0.7056737588652481,0.417,0.5,true
17,Lamar,0.702127659574468,0.416,0.5,true
18,Pacific,0.6950354609929077,0.414,0.5,true
19,Georgia,0.6914893617021275,0.413,0.5,true
20,Coastal Carolina,0.6773049645390069,0.409,0.5,true
21,Long Beach State,0.6773049645390069,0.409,0.5,true
22,South Carolina State,0.6773049645390069,0.409,0.5,true
23,Nevada,0.6702127659574466,0.407,0.5,true
24,Vanderbilt,0.6666666666666667,0.406,0.5,true
25,Monmouth,0.6560283687943262,0.403,0.5,true
26,Brigham Young,0.6453900709219859,0.4,0.5,true
27,Rider,0.6418439716312057,0.399,0.5,true
28,Wyoming,0.6418439716312057,0.399,0.5,true
29,Norfolk State,0.6382978723404256,0.398,0.5,true
30,Utah Valley,0.6382978723404256,0.398,0.5,true
31,Saint Louis,0.6347517730496454,0.397,0.5,true
32,West Virginia,0.6347517730496454,0.397,0.5,true
33,Rice,0.6170212765957447,0.392,0.5,true
34,Portland,0.6134751773049645,0.391,0.5,true
35,NJIT,0.6063829787234042,0.389,0.5,true
36,Alabama State,0.6028368794326241,0.388,0.5,true
37,Providence,0.6028368794326241,0.388,0.5,true
38,New Mexico,0.599290780141844,0.387,0.5,true
39,Georgetown,0.5957446808510638,0.386,0.5,true
40,McNeese State,0.5957446808510638,0.386,0.5,true
41,Alabama,0.5921985815602837,0.385,0.5,true
42,Arkansas,0.5921985815602837,0.385,0.5,true
43,Gardner-Webb,0.5921985815602837,0.385,0.5,true
44,UCLA,0.5815602836879432,0.382,0.5,true
45,UC-Santa Barbara,0.5780141843971631,0.381,0.5,true
46,Cincinnati,0.5780141843971631,0.381,0.5,true
47,Cal State Fullerton,0.5744680851063829,0.38,0.5,true
48,Loyola Marymount,0.5744680851063829,0.38,0.5,true
49,Memphis,0.5744680851063829,0.38,0.5,true
50,Arkansas State,0.5709219858156028,0.379,0.5,true
51,Brown,0.5709219858156028,0.379,0.5,true
52,Western Kentucky,0.5709219858156028,0.379,0.5,true
53,Quinnipiac,0.5673758865248226,0.378,0.5,true
54,Coppin State,0.5638297872340425,0.377,0.5,true
55,Louisiana State,0.5638297872340425,0.377,0.5,true
56,Florida International,0.5602836879432623,0.376,0.5,true
57,Hofstra,0.5602836879432623,0.376,0.5,true
58,Wake Forest,0.5602836879432623,0.376,0.5,true
59,Ball State,0.5567375886524822,0.375,0.5,true
60,Colorado,0.5567375886524822,0.375,0.5,true
61,Sacred Heart,0.5567375886524822,0.375,0.5,true
62,Western Michigan,0.553191489361702,0.374,0.5,true
63,Evansville,0.5460992907801417,0.372,0.5,true
64,Iona,0.5425531914893617,0.371,0.5,true
65,Mercer,0.5425531914893617,0.371,0.5,true
66,Portland State,0.5425531914893617,0.371,0.5,true
67,Louisiana-Monroe,0.5354609929078014,0.369,0.5,true
68,Southeastern Louisiana,0.5354609929078014,0.369,0.5,true
69,Bryant,0.5319148936170212,0.368,0.5,true
70,Oregon State,0.5319148936170212,0.368,0.5,true
71,Rhode Island,0.5319148936170212,0.368,0.5,true
72,Syracuse,0.5319148936170212,0.368,0.5,true
73,Utah State,0.5283687943262411,0.367,0.5,true
74,Lipscomb,0.5248226950354609,0.366,0.5,true
75,Missouri State,0.5248226950354609,0.366,0.5,true
76,Weber State,0.5248226950354609,0.366,0.5,true
77,Appalachian State,0.5177304964539007,0.364,0.5,true
78,Charlotte,0.5177304964539007,0.364,0.5,true
79,South Carolina,0.5177304964539007,0.364,0.5,true
80,Southern Utah,0.5177304964539007,0.364,0.5,true
81,Texas-El Paso,0.5177304964539007,0.364,0.5,true
82,Bethune-Cookman,0.5141843971631205,0.363,0.5,true
