


,MP_Def_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,Alabama,1.0,40.0,0.5,true
2,Army,1.0,40.0,0.5,true
3,Binghamton,1.0,40.0,0.5,true
4,Bryant,1.0,40.0,0.5,true
5,Charlotte,1.0,40.0,0.5,true
6,Chicago State,1.0,40.0,0.5,true
7,Clemson,1.0,40.0,0.5,true
8,Delaware State,1.0,40.0,0.5,true
9,Detroit Mercy,1.0,40.0,0.5,true
10,Drexel,1.0,40.0,0.5,true
11,Fairfield,1.0,40.0,0.5,true
12,Florida Gulf Coast,1.0,40.0,0.5,true
13,Florida International,1.0,40.0,0.5,true
14,Georgia State,1.0,40.0,0.5,true
15,Georgia,1.0,40.0,0.5,true
16,Gonzaga,1.0,40.0,0.5,true
17,Houston,1.0,40.0,0.5,true
18,Idaho State,1.0,40.0,0.5,true
19,Iona,1.0,40.0,0.5,true
20,Iowa State,1.0,40.0,0.5,true
21,IUPUI,1.0,40.0,0.5,true
22,Kansas State,1.0,40.0,0.5,true
23,La Salle,1.0,40.0,0.5,true
24,Liberty,1.0,40.0,0.5,true
25,Lipscomb,1.0,40.0,0.5,true
26,Loyola (IL),1.0,40.0,0.5,true
27,Loyola Marymount,1.0,40.0,0.5,true
28,Maryland,1.0,40.0,0.5,true
29,Michigan,1.0,40.0,0.5,true
30,Middle Tennessee,1.0,40.0,0.5,true
31,Montana State,1.0,40.0,0.5,true
32,Mount St. Mary's,1.0,40.0,0.5,true
33,Murray State,1.0,40.0,0.5,true
34,Navy,1.0,40.0,0.5,true
35,Nevada,1.0,40.0,0.5,true
36,New Hampshire,1.0,40.0,0.5,true
37,New Mexico,1.0,40.0,0.5,true
38,North Dakota,1.0,40.0,0.5,true
39,Northern Iowa,1.0,40.0,0.5,true
40,Notre Dame,1.0,40.0,0.5,true
41,Old Dominion,1.0,40.0,0.5,true
42,Prairie View,1.0,40.0,0.5,true
43,Richmond,1.0,40.0,0.5,true
44,Saint Francis (PA),1.0,40.0,0.5,true
45,Saint Louis,1.0,40.0,0.5,true
46,San Diego State,1.0,40.0,0.5,true
47,South Dakota State,1.0,40.0,0.5,true
48,Southeastern Louisiana,1.0,40.0,0.5,true
49,Southern Illinois,1.0,40.0,0.5,true
50,Southern Methodist,1.0,40.0,0.5,true
51,Texas A&M,1.0,40.0,0.5,true
52,Tulane,1.0,40.0,0.5,true
53,Utah Valley,1.0,40.0,0.5,true
54,Washington State,1.0,40.0,0.5,true
55,Bradley,0.897058823529411,40.14705882352941,0.5,true
56,Buffalo,0.897058823529411,40.14705882352941,0.5,true
57,Duke,0.897058823529411,40.14705882352941,0.5,true
58,Minnesota,0.897058823529411,40.14705882352941,0.5,true
59,Montana,0.897058823529411,40.14705882352941,0.5,true
60,Nebraska,0.897058823529411,40.14705882352941,0.5,true
61,New Mexico State,0.897058823529411,40.14705882352941,0.5,true
62,North Carolina-Greensboro,0.897058823529411,40.14705882352941,0.5,true
63,Texas Southern,0.897058823529411,40.14705882352941,0.5,true
64,Washington,0.897058823529411,40.14705882352941,0.5,true
65,Wright State,0.897058823529411,40.14705882352941,0.5,true
66,Akron,0.893939393939396,40.15151515151515,0.5,true
67,Boston University,0.893939393939396,40.15151515151515,0.5,true
68,Bucknell,0.893939393939396,40.15151515151515,0.5,true
69,UC-Riverside,0.893939393939396,40.15151515151515,0.5,true
70,Colorado,0.893939393939396,40.15151515151515,0.5,true
71,Connecticut,0.893939393939396,40.15151515151515,0.5,true
72,Davidson,0.893939393939396,40.15151515151515,0.5,true
73,Kentucky,0.893939393939396,40.15151515151515,0.5,true
74,North Carolina Central,0.893939393939396,40.15151515151515,0.5,true
75,North Carolina,0.893939393939396,40.15151515151515,0.5,true
76,North Florida,0.893939393939396,40.15151515151515,0.5,true
77,North Texas,0.893939393939396,40.15151515151515,0.5,true
78,Oakland,0.893939393939396,40.15151515151515,0.5,true
79,Ohio State,0.893939393939396,40.15151515151515,0.5,true
80,Presbyterian,0.893939393939396,40.15151515151515,0.5,true
81,Saint Joseph's,0.893939393939396,40.15151515151515,0.5,true
82,Saint Mary's (CA),0.893939393939396,40.15151515151515,0.5,true
83,Syracuse,0.893939393939396,40.15151515151515,0.5,true
84,Wichita State,0.893939393939396,40.15151515151515,0.5,true
85,Baylor,0.8906250000000001,40.15625,0.5,true
86,Campbell,0.8906250000000001,40.15625,0.5,true
87,Chattanooga,0.8906250000000001,40.15625,0.5,true
88,Colorado State,0.8906250000000001,40.15625,0.5,true
89,Fresno State,0.8906250000000001,40.15625,0.5,true
90,Georgia Tech,0.8906250000000001,40.15625,0.5,true
91,Idaho,0.8906250000000001,40.15625,0.5,true
92,Jackson State,0.8906250000000001,40.15625,0.5,true
93,Jacksonville,0.8906250000000001,40.15625,0.5,true
94,Kennesaw State,0.8906250000000001,40.15625,0.5,true
95,Long Island University,0.8906250000000001,40.15625,0.5,true
96,Manhattan,0.8906250000000001,40.15625,0.5,true
97,Maryland-Eastern Shore,0.8906250000000001,40.15625,0.5,true
98,Miami (FL),0.8906250000000001,40.15625,0.5,true
99,Miami (OH),0.8906250000000001,40.15625,0.5,true
100,Mississippi Valley State,0.8906250000000001,40.15625,0.5,true
101,Mississippi,0.8906250000000001,40.15625,0.5,true
102,Missouri State,0.8906250000000001,40.15625,0.5,true
103,Niagara,0.8906250000000001,40.15625,0.5,true
104,North Alabama,0.8906250000000001,40.15625,0.5,true
105,Oklahoma State,0.8906250000000001,40.15625,0.5,true
106,Oklahoma,0.8906250000000001,40.15625,0.5,true
107,Oral Roberts,0.8906250000000001,40.15625,0.5,true
108,Sacred Heart,0.8906250000000001,40.15625,0.5,true
109,South Carolina,0.8906250000000001,40.15625,0.5,true
110,Southern,0.8906250000000001,40.15625,0.5,true
111,St. Francis (NY),0.8906250000000001,40.15625,0.5,true
112,Texas Tech,0.8906250000000001,40.15625,0.5,true
113,Vanderbilt,0.8906250000000001,40.15625,0.5,true
114,Virginia,0.8906250000000001,40.15625,0.5,true
115,Wyoming,0.8906250000000001,40.15625,0.5,true
116,Alcorn State,0.8870967741935468,40.16129032258065,0.5,true
117,University of California,0.8870967741935468,40.16129032258065,0.5,true
118,Central Florida,0.8870967741935468,40.16129032258065,0.5,true
