


,ORB%_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,New Mexico State,1.0,21.0,0.5,true
2,Vermont,0.9864864864864865,21.2,0.5,true
3,Loyola (IL),0.972972972972973,21.4,0.5,true
4,San Diego,0.9459459459459458,21.8,0.5,true
5,Army,0.9256756756756755,22.1,0.5,true
6,Lipscomb,0.9256756756756755,22.1,0.5,true
7,Utah State,0.918918918918919,22.2,0.5,true
8,Northern Iowa,0.9121621621621621,22.3,0.5,true
9,South Dakota State,0.8986486486486487,22.5,0.5,true
10,Harvard,0.8783783783783783,22.8,0.5,true
11,Pacific,0.8783783783783783,22.8,0.5,true
12,Denver,0.8716216216216217,22.9,0.5,true
13,New Hampshire,0.8648648648648648,23.0,0.5,true
14,East Tennessee State,0.858108108108108,23.1,0.5,true
15,North Carolina,0.858108108108108,23.1,0.5,true
16,Saint Mary's (CA),0.8513513513513513,23.2,0.5,true
17,Eastern Washington,0.8445945945945945,23.3,0.5,true
18,Wofford,0.8378378378378379,23.4,0.5,true
19,Dartmouth,0.831081081081081,23.5,0.5,true
20,Belmont,0.8243243243243242,23.6,0.5,true
21,Colorado,0.8175675675675675,23.7,0.5,true
22,Air Force,0.8108108108108107,23.8,0.5,true
23,Bowling Green State,0.8108108108108107,23.8,0.5,true
24,Maryland-Baltimore County,0.8040540540540542,23.9,0.5,true
25,Rice,0.8040540540540542,23.9,0.5,true
26,Radford,0.7972972972972973,24.0,0.5,true
27,Texas State,0.7972972972972973,24.0,0.5,true
28,Yale,0.7905405405405403,24.1,0.5,true
29,Boise State,0.7837837837837838,24.2,0.5,true
30,Clemson,0.7837837837837838,24.2,0.5,true
31,Saint Joseph's,0.7837837837837838,24.2,0.5,true
32,Hawaii,0.777027027027027,24.3,0.5,true
33,Miami (OH),0.777027027027027,24.3,0.5,true
34,North Dakota State,0.777027027027027,24.3,0.5,true
35,Northeastern,0.777027027027027,24.3,0.5,true
36,Princeton,0.777027027027027,24.3,0.5,true
37,Davidson,0.7702702702702703,24.4,0.5,true
38,Longwood,0.7702702702702703,24.4,0.5,true
39,Southern Utah,0.7635135135135135,24.5,0.5,true
40,Nevada,0.7567567567567566,24.6,0.5,true
41,Northern Colorado,0.7567567567567566,24.6,0.5,true
42,Winthrop,0.7567567567567566,24.6,0.5,true
43,Boston University,0.75,24.7,0.5,true
44,DePaul,0.75,24.7,0.5,true
45,Maryland,0.75,24.7,0.5,true
46,Montana,0.75,24.7,0.5,true
47,North Dakota,0.75,24.7,0.5,true
48,Wright State,0.75,24.7,0.5,true
49,UC-Riverside,0.7432432432432432,24.8,0.5,true
50,Old Dominion,0.7432432432432432,24.8,0.5,true
51,Saint Louis,0.7432432432432432,24.8,0.5,true
52,High Point,0.7364864864864865,24.9,0.5,true
53,Utah Valley,0.7364864864864865,24.9,0.5,true
54,Michigan,0.7297297297297296,25.0,0.5,true
55,North Alabama,0.7297297297297296,25.0,0.5,true
56,Toledo,0.7297297297297296,25.0,0.5,true
57,Grand Canyon,0.7229729729729728,25.1,0.5,true
58,Jacksonville State,0.7229729729729728,25.1,0.5,true
59,Liberty,0.7229729729729728,25.1,0.5,true
60,Omaha,0.7229729729729728,25.1,0.5,true
61,Western Carolina,0.7229729729729728,25.1,0.5,true
62,Western Illinois,0.7229729729729728,25.1,0.5,true
63,Brown,0.7162162162162162,25.2,0.5,true
64,Evansville,0.7162162162162162,25.2,0.5,true
65,Florida Atlantic,0.7162162162162162,25.2,0.5,true
66,North Texas,0.7162162162162162,25.2,0.5,true
67,Cal State Fullerton,0.7094594594594594,25.3,0.5,true
68,Missouri State,0.7094594594594594,25.3,0.5,true
69,Navy,0.7094594594594594,25.3,0.5,true
70,UC-Santa Barbara,0.6959459459459458,25.5,0.5,true
71,Fresno State,0.6959459459459458,25.5,0.5,true
72,Illinois State,0.6959459459459458,25.5,0.5,true
73,Kansas State,0.6959459459459458,25.5,0.5,true
74,South Dakota,0.6959459459459458,25.5,0.5,true
75,William & Mary,0.6959459459459458,25.5,0.5,true
76,Drake,0.689189189189189,25.6,0.5,true
77,Drexel,0.689189189189189,25.6,0.5,true
78,Loyola Marymount,0.689189189189189,25.6,0.5,true
79,Niagara,0.689189189189189,25.6,0.5,true
