


,ORtg_Def
Rank,Name,Val,Normalized,Weight,Enabled
1,Texas Tech,1.0,87.2,0.5,true
2,Virginia Commonwealth,0.9540983606557379,88.6,0.5,true
3,Michigan,0.9213114754098364,89.6,0.5,true
4,Virginia,0.9147540983606559,89.8,0.5,true
5,Houston,0.8885245901639347,90.6,0.5,true
6,Gonzaga,0.8786885245901639,90.9,0.5,true
7,Kansas State,0.8688524590163934,91.2,0.5,true
8,Duke,0.8655737704918034,91.3,0.5,true
9,Lipscomb,0.8360655737704918,92.2,0.5,true
10,Akron,0.8131147540983605,92.9,0.5,true
11,North Texas,0.8131147540983605,92.9,0.5,true
12,Old Dominion,0.8131147540983605,92.9,0.5,true
13,Wisconsin,0.8131147540983605,92.9,0.5,true
14,Abilene Christian,0.8098360655737706,93.0,0.5,true
15,Brown,0.8098360655737706,93.0,0.5,true
16,Liberty,0.8098360655737706,93.0,0.5,true
17,Texas State,0.8032786885245902,93.2,0.5,true
18,New Mexico State,0.7901639344262298,93.6,0.5,true
19,Vermont,0.7868852459016393,93.7,0.5,true
20,Stony Brook,0.7836065573770494,93.8,0.5,true
21,Nevada,0.7803278688524589,93.9,0.5,true
22,Buffalo,0.777049180327869,94.0,0.5,true
23,UC-Irvine,0.773770491803279,94.1,0.5,true
24,Maryland-Baltimore County,0.7606557377049181,94.5,0.5,true
25,Murray State,0.7606557377049181,94.5,0.5,true
26,Clemson,0.7540983606557377,94.7,0.5,true
27,Utah State,0.7508196721311478,94.8,0.5,true
28,Wofford,0.7508196721311478,94.8,0.5,true
29,Furman,0.7475409836065573,94.9,0.5,true
30,Oregon,0.7475409836065573,94.9,0.5,true
31,Michigan State,0.7442622950819673,95.0,0.5,true
32,Norfolk State,0.7442622950819673,95.0,0.5,true
33,South Florida,0.7442622950819673,95.0,0.5,true
34,Cincinnati,0.7409836065573774,95.1,0.5,true
35,Grambling,0.7409836065573774,95.1,0.5,true
36,Loyola (IL),0.7409836065573774,95.1,0.5,true
37,Saint Louis,0.7409836065573774,95.1,0.5,true
38,St. Bonaventure,0.7409836065573774,95.1,0.5,true
39,Jacksonville State,0.7377049180327868,95.2,0.5,true
40,Southern Mississippi,0.7377049180327868,95.2,0.5,true
41,Central Florida,0.7311475409836065,95.4,0.5,true
42,Florida Atlantic,0.7278688524590164,95.5,0.5,true
43,North Carolina,0.7278688524590164,95.5,0.5,true
44,Washington,0.7278688524590164,95.5,0.5,true
45,Florida State,0.7245901639344265,95.6,0.5,true
46,Virginia Tech,0.7180327868852461,95.8,0.5,true
47,Kentucky,0.7114754098360656,96.0,0.5,true
48,Charleston Southern,0.7049180327868853,96.2,0.5,true
49,North Carolina-Greensboro,0.7049180327868853,96.2,0.5,true
50,North Carolina Central,0.7016393442622952,96.3,0.5,true
51,Loyola Marymount,0.6983606557377049,96.4,0.5,true
52,Northwestern,0.6918032786885249,96.6,0.5,true
53,Bethune-Cookman,0.6885245901639344,96.7,0.5,true
54,Fresno State,0.6885245901639344,96.7,0.5,true
55,Colorado,0.6852459016393444,96.8,0.5,true
56,Marquette,0.6852459016393444,96.8,0.5,true
57,Pennsylvania,0.6852459016393444,96.8,0.5,true
58,Toledo,0.6852459016393444,96.8,0.5,true
59,East Tennessee State,0.675409836065574,97.1,0.5,true
60,New Orleans,0.675409836065574,97.1,0.5,true
61,Florida,0.6721311475409837,97.2,0.5,true
62,Lamar,0.6721311475409837,97.2,0.5,true
63,Georgia Tech,0.6688524590163936,97.3,0.5,true
64,Syracuse,0.6688524590163936,97.3,0.5,true
65,Jackson State,0.6655737704918032,97.4,0.5,true
66,North Carolina State,0.6655737704918032,97.4,0.5,true
67,Oklahoma,0.6655737704918032,97.4,0.5,true
68,Texas-Rio Grande Valley,0.6655737704918032,97.4,0.5,true
69,Louisville,0.6622950819672132,97.5,0.5,true
70,Auburn,0.6590163934426232,97.6,0.5,true
71,Tennessee,0.6590163934426232,97.6,0.5,true
72,NJIT,0.6557377049180328,97.7,0.5,true
73,Northern Kentucky,0.6557377049180328,97.7,0.5,true
74,Texas-El Paso,0.6557377049180328,97.7,0.5,true
75,Texas A&M-Corpus Christi,0.6524590163934428,97.8,0.5,true
76,Bradley,0.6491803278688524,97.9,0.5,true
77,Indiana,0.6491803278688524,97.9,0.5,true
78,San Diego State,0.6491803278688524,97.9,0.5,true
79,Davidson,0.6459016393442624,98.0,0.5,true
80,Memphis,0.6426229508196724,98.1,0.5,true
81,Maryland,0.639344262295082,98.2,0.5,true
82,Nebraska,0.639344262295082,98.2,0.5,true
83,Seattle,0.639344262295082,98.2,0.5,true
