


,Opp._Gen_PG
Rank,Name,Val,Normalized,Weight,Enabled
1,Virginia,1.0,55.0625,0.5,true
2,Michigan,0.8901933470152449,58.55882352941177,0.5,true
3,Kansas State,0.8687239647791791,59.24242424242424,0.5,true
4,Texas Tech,0.8675045906414234,59.28125,0.5,true
5,Loyola (IL),0.8297039923709968,60.484848484848484,0.5,true
6,Liberty,0.8209147015989958,60.76470588235294,0.5,true
7,Old Dominion,0.8199909863267791,60.794117647058826,0.5,true
8,Houston,0.8061352572435294,61.23529411764706,0.5,true
9,Wisconsin,0.8002010864038346,61.42424242424242,0.5,true
10,Virginia Commonwealth,0.7948774773633889,61.59375,0.5,true
11,Virginia Tech,0.7791743177357058,62.09375,0.5,true
12,Cincinnati,0.7756526532603798,62.205882352941174,0.5,true
13,Vermont,0.7621328206397542,62.63636363636363,0.5,true
14,Manhattan,0.755619578294181,62.84375,0.5,true
15,Loyola Marymount,0.7527385550560375,62.935483870967744,0.5,true
16,North Texas,0.752615754198734,62.93939393939394,0.5,true
17,Oregon,0.7525069877251224,62.94285714285714,0.5,true
18,St. Bonaventure,0.7479411950938801,63.088235294117645,0.5,true
19,Abilene Christian,0.7478572209782239,63.09090909090909,0.5,true
20,UC-Irvine,0.740841783430272,63.31428571428572,0.5,true
21,Florida,0.7303906049217636,63.64705882352941,0.5,true
22,Saint Louis,0.7273819323208295,63.74285714285714,0.5,true
23,Clemson,0.7251947065155449,63.8125,0.5,true
24,Akron,0.7240645548756737,63.84848484848485,0.5,true
25,Maryland-Baltimore County,0.718382306382947,64.02941176470588,0.5,true
26,New Mexico State,0.7146874452940806,64.1470588235294,0.5,true
27,Texas State,0.7145474884346535,64.15151515151516,0.5,true
28,Central Florida,0.7101880580003798,64.29032258064517,0.5,true
29,Saint Mary's (CA),0.7078855419259398,64.36363636363636,0.5,true
30,Washington,0.7072977231163473,64.38235294117646,0.5,true
31,Southern Mississippi,0.6977141771670994,64.6875,0.5,true
32,Davidson,0.6926582356203076,64.84848484848484,0.5,true
33,Bradley,0.688823417672014,64.97058823529412,0.5,true
34,Gonzaga,0.6859962891115934,65.06060606060606,0.5,true
35,Maryland,0.685936807446337,65.0625,0.5,true
36,Northwestern,0.685936807446337,65.0625,0.5,true
37,Kentucky,0.6745758093823693,65.42424242424242,0.5,true
38,Michigan State,0.6712728274998976,65.52941176470588,0.5,true
39,Northern Iowa,0.6694253969554642,65.58823529411765,0.5,true
40,Wofford,0.6688655695177571,65.60606060606061,0.5,true
41,Syracuse,0.6660104495854511,65.6969696969697,0.5,true
42,Dayton,0.6633635154815425,65.78125,0.5,true
43,Furman,0.6623820680048123,65.8125,0.5,true
44,Stony Brook,0.6623820680048123,65.8125,0.5,true
45,Jackson State,0.661400620528082,65.84375,0.5,true
46,Siena,0.6564933831444311,66.0,0.5,true
47,UC-Santa Barbara,0.6545304881909707,66.0625,0.5,true
48,Ohio State,0.6498314366357169,66.21212121212122,0.5,true
49,Valparaiso,0.6479280233475132,66.27272727272727,0.5,true
50,North Carolina Central,0.6469763167034113,66.3030303030303,0.5,true
51,Florida A&M,0.6453492053441396,66.35483870967742,0.5,true
52,Texas A&M-Corpus Christi,0.6447160134236687,66.375,0.5,true
53,Nebraska,0.6444850846056147,66.38235294117646,0.5,true
54,Georgia Tech,0.6388273285632875,66.5625,0.5,true
55,Nevada,0.6355558369741867,66.66666666666667,0.5,true
56,Utah State,0.6315530707945813,66.79411764705883,0.5,true
57,Purdue,0.6309757487494461,66.8125,0.5,true
58,Fordham,0.6280314063192554,66.90625,0.5,true
59,South Florida,0.6250870638890649,67.0,0.5,true
60,Southern Illinois,0.6250870638890649,67.0,0.5,true
61,Texas,0.6250870638890649,67.0,0.5,true
62,Villanova,0.6223159180724147,67.08823529411765,0.5,true
63,Florida State,0.6213922028001979,67.11764705882354,0.5,true
64,Baylor,0.6191983790286837,67.1875,0.5,true
65,Alabama-Birmingham,0.6167736264391148,67.26470588235294,0.5,true
66,North Carolina-Greensboro,0.6158499111668982,67.29411764705883,0.5,true
67,Wright State,0.6140024806224648,67.3529411764706,0.5,true
68,San Diego State,0.6130787653502485,67.38235294117646,0.5,true
69,Missouri State,0.6123282466915723,67.40625,0.5,true
70,Colorado,0.6089080509393306,67.51515151515152,0.5,true
71,Southeastern Louisiana,0.6089080509393306,67.51515151515152,0.5,true
72,Duke,0.6075364737169482,67.55882352941177,0.5,true
73,Fresno State,0.6074210093079213,67.5625,0.5,true
74,Louisiana Tech,0.6022461044306164,67.72727272727273,0.5,true
75,Missouri,0.6015323244475401,67.75,0.5,true
76,Murray State,0.6007724941429746,67.7741935483871,0.5,true
77,San Francisco,0.6007724941429746,67.7741935483871,0.5,true
78,Indiana,0.6005508769708099,67.78125,0.5,true
79,Robert Morris,0.6003426911424128,67.78787878787878,0.5,true
80,Louisville,0.5993909844983107,67.81818181818181,0.5,true
81,NJIT,0.5993909844983107,67.81818181818181,0.5,true
82,Rhode Island,0.5984392778542087,67.84848484848484,0.5,true
83,High Point,0.5967200658519597,67.90322580645162,0.5,true
84,Florida Atlantic,0.5946621921104287,67.96875,0.5,true
85,San Diego,0.5927834212264025,68.02857142857142,0.5,true
86,Toledo,0.5917178496802381,68.0625,0.5,true
87,Radford,0.5908256247013923,68.0909090909091,0.5,true
88,Auburn,0.5900914510045139,68.11428571428571,0.5,true
89,Wagner,0.5894932353996495,68.13333333333334,0.5,true
90,Brown,0.5884463580911373,68.16666666666667,0.5,true
91,Oklahoma,0.5868106122965872,68.21875,0.5,true
92,Pennsylvania,0.5845627809789146,68.29032258064517,0.5,true
93,Iowa State,0.5835198766393151,68.32352941176471,0.5,true
94,Montana,0.5835198766393151,68.32352941176471,0.5,true
95,Grambling,0.5765500250398623,68.54545454545455,0.5,true
96,Boise State,0.5755983183957603,68.57575757575758,0.5,true
97,New Hampshire,0.5741871671648504,68.62068965517241,0.5,true
98,Penn State,0.5740517950990947,68.625,0.5,true
99,Saint Peter's,0.5740517950990947,68.625,0.5,true
100,College of Charleston,0.5736949051075562,68.63636363636364,0.5,true
101,UC-Davis,0.5734186031786236,68.64516129032258,0.5,true
102,Tennessee,0.5733590086449323,68.6470588235294,0.5,true
103,Charlotte,0.5720212141127562,68.6896551724138,0.5,true
104,Pittsburgh,0.5717914918193521,68.6969696969697,0.5,true
105,Hawaii,0.5703792819603624,68.74193548387096,0.5,true
106,East Tennessee State,0.5698880785311484,68.75757575757575,0.5,true
107,Northern Kentucky,0.5696641475560654,68.76470588235294,0.5,true
108,Rutgers,0.5693661748876082,68.7741935483871,0.5,true
109,Arizona,0.5652187678085228,68.90625,0.5,true
110,Grand Canyon,0.5632261320224343,68.96969696969697,0.5,true
111,Notre Dame,0.5632261320224343,68.96969696969697,0.5,true
112,American,0.5622744253783323,69.0,0.5,true
113,Texas-El Paso,0.5622744253783323,69.0,0.5,true
114,Lipscomb,0.561292977901602,69.03125,0.5,true
115,North Carolina A&T,0.561292977901602,69.03125,0.5,true
116,Norfolk State,0.5604269948338988,69.05882352941177,0.5,true
117,UC-Riverside,0.5603710120901282,69.06060606060606,0.5,true
118,Seattle,0.5603115304248718,69.0625,0.5,true
119,Marquette,0.5594193054460261,69.0909090909091,0.5,true
120,Eastern Michigan,0.5573671879946812,69.15625,0.5,true
121,Minnesota,0.5567321337450324,69.17647058823529,0.5,true
122,Jacksonville State,0.55656418551372,69.18181818181819,0.5,true
123,Wichita State,0.55656418551372,69.18181818181819,0.5,true
124,Albany (NY),0.5544228455644906,69.25,0.5,true
125,Marist,0.554169568796302,69.25806451612904,0.5,true
126,Western Kentucky,0.5539609879283822,69.26470588235294,0.5,true
127,George Mason,0.5508539456491082,69.36363636363636,0.5,true
128,Providence,0.5499022390050061,69.39393939393939,0.5,true
129,Sacramento State,0.5460647122142722,69.51612903225806,0.5,true
130,Sam Houston State,0.545589818273919,69.53125,0.5,true
131,Holy Cross,0.544191999140394,69.57575757575758,0.5,true
132,Northern Colorado,0.541664028366998,69.65625,0.5,true
133,Princeton,0.5409629944550478,69.67857142857143,0.5,true
134,Charleston Southern,0.5406825808902679,69.6875,0.5,true
135,New Orleans,0.5406825808902679,69.6875,0.5,true
136,Miami (OH),0.5377382384600773,69.78125,0.5,true
137,Texas-Arlington,0.5375300526316802,69.78787878787878,0.5,true
138,Oregon State,0.5359336414867345,69.83870967741936,0.5,true
139,Fairfield,0.5339074273412271,69.90322580645162,0.5,true
140,Drake,0.533723226055272,69.9090909090909,0.5,true
141,Harvard,0.5330340591750602,69.93103448275862,0.5,true
142,St. Francis (NY),0.5318495535996961,69.96875,0.5,true
143,Colgate,0.5299443908507492,70.02941176470588,0.5,true
144,Pacific,0.5298866586462357,70.03125,0.5,true
145,Santa Clara,0.5288418919774585,70.06451612903226,0.5,true
146,Kansas,0.5280969603063158,70.08823529411765,0.5,true
147,Longwood,0.5279237636927754,70.09375,0.5,true
148,Illinois State,0.5270612795465578,70.12121212121212,0.5,true
149,Mississippi State,0.5270612795465578,70.12121212121212,0.5,true
150,Campbell,0.5269423162160451,70.125,0.5,true
151,Texas-Rio Grande Valley,0.5254841656791887,70.17142857142858,0.5,true
152,Texas Christian,0.5242061596142517,70.21212121212122,0.5,true
153,North Carolina State,0.522302746326048,70.27272727272727,0.5,true
154,Northeastern,0.522302746326048,70.27272727272727,0.5,true
155,Southern Methodist,0.5220350788323942,70.28125,0.5,true
156,Lamar,0.519447626393742,70.36363636363636,0.5,true
157,Mississippi,0.5190907364022035,70.375,0.5,true
158,Utah Valley,0.5175442131055379,70.42424242424242,0.5,true
159,Cornell,0.5172587011123071,70.43333333333334,0.5,true
160,Gardner-Webb,0.5151649464952828,70.5,0.5,true
161,Buffalo,0.514241231223066,70.52941176470588,0.5,true
162,Butler,0.5141834990185525,70.53125,0.5,true
163,Dartmouth,0.5141180691867706,70.53333333333333,0.5,true
164,Xavier,0.5118339732409256,70.60606060606061,0.5,true
165,Richmond,0.5089788533086195,70.6969696969697,0.5,true
166,Alcorn State,0.5065535363768756,70.7741935483871,0.5,true
167,Arkansas-Pine Bluff,0.5024061292977902,70.90625,0.5,true
168,Maine,0.5004432343443298,70.96875,0.5,true
169,Tulsa,0.5004432343443298,70.96875,0.5,true
170,Northern Illinois,0.5003855021398163,70.97058823529412,0.5,true
171,Miami (FL),0.496517444437409,71.09375,0.5,true
172,Monmouth,0.4949751698311189,71.14285714285714,0.5,true
173,Cal State Fullerton,0.49470325364708945,71.15151515151516,0.5,true
174,Temple,0.4945545494839486,71.15625,0.5,true
175,Cal State Bakersfield,0.4933831444310772,71.19354838709677,0.5,true
176,South Dakota,0.49318052301652626,71.2,0.5,true
177,Fairleigh Dickinson,0.4908964270706817,71.27272727272727,0.5,true
178,Alabama,0.48994472042657966,71.3030303030303,0.5,true
179,Connecticut,0.4889930137824776,71.33333333333333,0.5,true
180,George Washington,0.48708960049427363,71.39393939393939,0.5,true
181,Alabama A&M,0.48670296967010707,71.40625,0.5,true
182,Seton Hall,0.4842344805619675,71.48484848484848,0.5,true
183,Oklahoma State,0.48375862723991647,71.5,0.5,true
184,Indiana State,0.4822389666307859,71.54838709677419,0.5,true
185,Ball State,0.48137936062966136,71.57575757575758,0.5,true
186,Maryland-Eastern Shore,0.4808142848097259,71.59375,0.5,true
187,Air Force,0.4778699423795353,71.6875,0.5,true
188,Towson,0.4778699423795353,71.6875,0.5,true
189,Texas A&M,0.4749255999493447,71.78125,0.5,true
190,Stanford,0.4731210029760019,71.83870967741936,0.5,true
191,Binghamton,0.46805546761223327,72.0,0.5,true
192,Army,0.46707402013550314,72.03125,0.5,true
193,Stephen F. Austin,0.4670085903037212,72.03333333333333,0.5,true
194,Alabama State,0.46501614639397215,72.09677419354838,0.5,true
195,Quinnipiac,0.4649148356866969,72.1,0.5,true
196,Delaware,0.4642486410358252,72.12121212121212,0.5,true
197,North Dakota State,0.4623452277476211,72.18181818181819,0.5,true
198,Middle Tennessee,0.4592224403216616,72.28125,0.5,true
199,Duquesne,0.45824099284493136,72.3125,0.5,true
200,Nevada-Las Vegas,0.45792439688469566,72.3225806451613,0.5,true
201,Boston University,0.4575866945271113,72.33333333333333,0.5,true
202,Vanderbilt,0.4572595453682011,72.34375,0.5,true
203,La Salle,0.45691128981194196,72.35483870967742,0.5,true
204,South Carolina,0.456278097891471,72.375,0.5,true
205,Presbyterian,0.45568328123890733,72.39393939393939,0.5,true
206,Evansville,0.45529665041474077,72.40625,0.5,true
207,Bethune-Cookman,0.45488507566643444,72.41935483870968,0.5,true
208,Mercer,0.45387196859368073,72.45161290322581,0.5,true
209,Prairie View,0.4523523079845502,72.5,0.5,true
210,South Alabama,0.4523523079845502,72.5,0.5,true
211,Navy,0.4498195403026659,72.58064516129032,0.5,true
212,Arkansas,0.4494079655543596,72.59375,0.5,true
213,Hofstra,0.4486574468956833,72.61764705882354,0.5,true
214,Saint Joseph's,0.44806962808609097,72.63636363636364,0.5,true
215,Boston College,0.4437408978661431,72.7741935483871,0.5,true
216,Kent State,0.44253783321724816,72.8125,0.5,true
217,California Baptist,0.4418835348994282,72.83333333333333,0.5,true
218,Georgia State,0.43855256164507106,72.93939393939394,0.5,true
219,Hartford,0.43855256164507106,72.93939393939394,0.5,true
220,North Carolina,0.43855256164507106,72.93939393939394,0.5,true
221,James Madison,0.43664914835686697,73.0,0.5,true
222,Southern California,0.43569744171276503,73.03030303030303,0.5,true
223,Long Island University,0.43566770088013684,73.03125,0.5,true
224,Louisiana State,0.43566770088013684,73.03125,0.5,true
225,Arizona State,0.4346862534034066,73.0625,0.5,true
226,Coastal Carolina,0.43462293421135956,73.06451612903226,0.5,true
227,Austin Peay,0.4328423217804589,73.12121212121212,0.5,true
228,Missouri-Kansas City,0.431741910973216,73.15625,0.5,true
229,North Dakota,0.43036788450579366,73.2,0.5,true
230,Yale,0.4301512892005842,73.20689655172414,0.5,true
231,Bucknell,0.4280837885599491,73.27272727272727,0.5,true
232,Columbia,0.42767591428390506,73.28571428571429,0.5,true
233,Western Illinois,0.42753118470208307,73.29032258064517,0.5,true
234,South Dakota State,0.42683467358956506,73.3125,0.5,true
235,Bowling Green State,0.42371713454583404,73.41176470588235,0.5,true
236,IUPUI,0.4219274362059141,73.46875,0.5,true
237,Northwestern State,0.4194263281200533,73.54838709677419,0.5,true
238,Massachusetts,0.4189830937757235,73.5625,0.5,true
239,Iowa,0.41666330883072467,73.63636363636364,0.5,true
240,North Alabama,0.4150573038688027,73.6875,0.5,true
241,Mount St. Mary's,0.413347685683531,73.74193548387096,0.5,true
242,Florida Gulf Coast,0.4130944089153423,73.75,0.5,true
243,Southern,0.4130944089153423,73.75,0.5,true
244,Ohio,0.411321471538023,73.80645161290323,0.5,true
245,Creighton,0.41113151396188186,73.8125,0.5,true
246,Belmont,0.4092952573925156,73.87096774193549,0.5,true
247,Georgia,0.4091686190084215,73.875,0.5,true
248,East Carolina,0.40017729373773214,74.16129032258064,0.5,true
249,Canisius,0.3973912492876591,74.25,0.5,true
250,Chattanooga,0.3973912492876591,74.25,0.5,true
251,Nicholls State,0.3971379725194705,74.25806451612904,0.5,true
252,McNeese State,0.39612486544671677,74.29032258064517,0.5,true
253,Louisiana-Monroe,0.39572576266048076,74.3030303030303,0.5,true
254,Eastern Washington,0.39508196110711735,74.32352941176471,0.5,true
255,Weber State,0.3938223493722768,74.36363636363636,0.5,true
256,Pepperdine,0.3932345305626844,74.38235294117646,0.5,true
257,Illinois-Chicago,0.38855822199708734,74.53125,0.5,true
258,Utah,0.388020008864687,74.54838709677419,0.5,true
259,North Carolina-Asheville,0.3859937947191795,74.61290322580645,0.5,true
260,Portland,0.3846324320901666,74.65625,0.5,true
261,Milwaukee,0.3839675805736721,74.6774193548387,0.5,true
