


,SOS_Gen
Rank,Name,Val,Normalized,Weight,Enabled
1,Kansas,1.0,12.81,0.5,true
2,Duke,0.9851116625310173,12.45,0.5,true
3,Michigan State,0.9793217535153019,12.31,0.5,true
4,North Carolina,0.9751861042183623,12.21,0.5,true
5,Illinois,0.9702233250620348,12.09,0.5,true
6,Penn State,0.9685690653432589,12.05,0.5,true
7,Purdue,0.9648469809760132,11.96,0.5,true
8,Oklahoma,0.9578163771712157,11.79,0.5,true
9,Nebraska,0.9574028122415219,11.78,0.5,true
10,Louisville,0.95616211745244,11.75,0.5,true
11,Texas,0.95616211745244,11.75,0.5,true
12,Oklahoma State,0.9445822994210091,11.47,0.5,true
13,Wisconsin,0.9441687344913151,11.46,0.5,true
14,Indiana,0.9367245657568237,11.28,0.5,true
15,Minnesota,0.9330024813895781,11.19,0.5,true
16,Florida,0.9296939619520264,11.11,0.5,true
17,Ohio State,0.9263854425144747,11.03,0.5,true
18,West Virginia,0.9234904880066169,10.96,0.5,true
19,Michigan,0.9205955334987592,10.89,0.5,true
20,Syracuse,0.9106699751861043,10.65,0.5,true
21,Florida State,0.9098428453267163,10.63,0.5,true
22,Maryland,0.902398676592225,10.45,0.5,true
23,Kentucky,0.9019851116625309,10.44,0.5,true
24,Rutgers,0.8978494623655915,10.34,0.5,true
25,Tennessee,0.8961952026468156,10.3,0.5,true
26,Auburn,0.8866832092638544,10.07,0.5,true
27,South Carolina,0.8833746898263027,9.99,0.5,true
28,Virginia,0.8792390405293631,9.89,0.5,true
29,Clemson,0.8775847808105872,9.85,0.5,true
30,Iowa,0.8763440860215053,9.82,0.5,true
31,Alabama,0.8742762613730356,9.77,0.5,true
32,Northwestern,0.8713813068651779,9.7,0.5,true
33,Mississippi State,0.8647642679900743,9.54,0.5,true
34,Texas Christian,0.8622828784119108,9.48,0.5,true
35,Missouri,0.8614557485525227,9.46,0.5,true
36,Miami (FL),0.8581472291149711,9.38,0.5,true
37,Kansas State,0.8515301902398676,9.22,0.5,true
38,Wake Forest,0.8494623655913979,9.17,0.5,true
39,Creighton,0.847808105872622,9.13,0.5,true
40,Iowa State,0.8440860215053763,9.04,0.5,true
41,Arkansas,0.8424317617866004,9.0,0.5,true
42,Seton Hall,0.8387096774193549,8.91,0.5,true
43,Notre Dame,0.8382961124896608,8.9,0.5,true
44,Texas A&M,0.8378825475599668,8.89,0.5,true
45,Louisiana State,0.8366418527708849,8.86,0.5,true
46,Georgia Tech,0.8333333333333333,8.78,0.5,true
47,Butler,0.82464846980976,8.57,0.5,true
48,Boston College,0.8205128205128205,8.47,0.5,true
49,Xavier,0.8200992555831265,8.46,0.5,true
50,Georgia,0.8192721257237385,8.44,0.5,true
51,Baylor,0.8176178660049628,8.4,0.5,true
52,Mississippi,0.8101736972704715,8.22,0.5,true
53,Vanderbilt,0.8056244830438377,8.11,0.5,true
54,Villanova,0.8023159636062861,8.03,0.5,true
55,Virginia Tech,0.8002481389578164,7.98,0.5,true
56,Texas Tech,0.7849462365591399,7.61,0.5,true
57,Marquette,0.782464846980976,7.55,0.5,true
58,Pittsburgh,0.7750206782464847,7.37,0.5,true
59,Providence,0.7646815550041356,7.12,0.5,true
60,North Carolina State,0.7584780810587263,6.97,0.5,true
61,UCLA,0.7535153019023987,6.85,0.5,true
62,Washington,0.7353184449958644,6.41,0.5,true
63,Arizona,0.7332506203473945,6.36,0.5,true
64,St. John's (NY),0.7200165425971877,6.04,0.5,true
65,Georgetown,0.717535153019024,5.98,0.5,true
66,Arizona State,0.7063688999172869,5.71,0.5,true
67,University of California,0.6976840363937137,5.5,0.5,true
68,Wichita State,0.6898263027295285,5.31,0.5,true
69,Oregon,0.6877584780810587,5.26,0.5,true
70,Stanford,0.6877584780810587,5.26,0.5,true
71,Utah,0.6836228287841192,5.16,0.5,true
72,DePaul,0.6819685690653432,5.12,0.5,true
73,Cincinnati,0.6815550041356493,5.11,0.5,true
74,Southern California,0.6728701406120761,4.9,0.5,true
75,Eastern Michigan,0.6708023159636063,4.85,0.5,true
76,Temple,0.6658395368072788,4.73,0.5,true
77,Memphis,0.6645988420181969,4.7,0.5,true
78,Central Florida,0.6625310173697271,4.65,0.5,true
79,Gonzaga,0.6559139784946236,4.49,0.5,true
80,Saint Mary's (CA),0.6538461538461539,4.44,0.5,true
81,Oregon State,0.6505376344086021,4.36,0.5,true
82,Connecticut,0.6464019851116625,4.26,0.5,true
83,Southern Methodist,0.6352357320099256,3.99,0.5,true
84,Houston,0.6298593879239041,3.86,0.5,true
85,Tulsa,0.6269644334160464,3.79,0.5,true
86,San Diego,0.6211745244003308,3.65,0.5,true
87,Brigham Young,0.619520264681555,3.61,0.5,true
88,Tulane,0.6145574855252275,3.49,0.5,true
89,Colorado,0.6141439205955335,3.48,0.5,true
90,Ohio,0.6116625310173697,3.42,0.5,true
91,Dayton,0.5938792390405293,2.99,0.5,true
92,San Diego State,0.5868486352357319,2.82,0.5,true
93,Virginia Commonwealth,0.5839536807278742,2.75,0.5,true
94,Miami (OH),0.5789909015715468,2.63,0.5,true
95,Nevada,0.5773366418527709,2.59,0.5,true
96,Pacific,0.564516129032258,2.28,0.5,true
97,Washington State,0.5612076095947064,2.2,0.5,true
98,Buffalo,0.5603804797353185,2.18,0.5,true
99,Davidson,0.5558312655086849,2.07,0.5,true
100,Saint Louis,0.5554177005789909,2.06,0.5,true
101,Saint Joseph's,0.5516956162117452,1.97,0.5,true
102,New Mexico,0.5504549214226633,1.94,0.5,true
103,Western Michigan,0.5475599669148056,1.87,0.5,true
104,Middle Tennessee,0.5425971877584781,1.75,0.5,true
105,Colorado State,0.5405293631100082,1.7,0.5,true
106,La Salle,0.5384615384615384,1.65,0.5,true
107,Ball State,0.5343258891645989,1.55,0.5,true
108,Rhode Island,0.5334987593052108,1.53,0.5,true
109,George Washington,0.5326716294458229,1.51,0.5,true
110,Akron,0.5297766749379652,1.44,0.5,true
111,Northern Illinois,0.5297766749379652,1.44,0.5,true
112,San Francisco,0.5281224152191895,1.4,0.5,true
