


,STL%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Auburn,1.0,13.5,0.5,true
2,Washington,0.9743589743589745,13.3,0.5,true
3,Florida International,0.9487179487179487,13.1,0.5,true
4,Texas-Rio Grande Valley,0.9358974358974359,13.0,0.5,true
5,Abilene Christian,0.9230769230769231,12.9,0.5,true
6,Duke,0.9102564102564104,12.8,0.5,true
7,North Carolina-Greensboro,0.8974358974358974,12.7,0.5,true
8,Furman,0.8846153846153846,12.6,0.5,true
9,Louisiana State,0.8846153846153846,12.6,0.5,true
10,Eastern Kentucky,0.8717948717948718,12.5,0.5,true
11,Loyola (MD),0.8333333333333333,12.2,0.5,true
12,Prairie View,0.8333333333333333,12.2,0.5,true
13,Rider,0.8333333333333333,12.2,0.5,true
14,Syracuse,0.8333333333333333,12.2,0.5,true
15,New Orleans,0.8205128205128205,12.1,0.5,true
16,Temple,0.8205128205128205,12.1,0.5,true
17,St. John's (NY),0.8076923076923077,12.0,0.5,true
18,Lamar,0.7948717948717949,11.9,0.5,true
19,Marshall,0.7948717948717949,11.9,0.5,true
20,Kansas State,0.7692307692307692,11.7,0.5,true
21,Mississippi State,0.7692307692307692,11.7,0.5,true
22,Oregon,0.7692307692307692,11.7,0.5,true
23,Maryland-Baltimore County,0.7564102564102564,11.6,0.5,true
24,Virginia Commonwealth,0.7435897435897436,11.5,0.5,true
25,Southern Mississippi,0.7307692307692308,11.4,0.5,true
26,Arkansas,0.7179487179487181,11.3,0.5,true
27,Maine,0.7179487179487181,11.3,0.5,true
28,Portland State,0.7179487179487181,11.3,0.5,true
29,Richmond,0.7179487179487181,11.3,0.5,true
30,Georgia State,0.7051282051282051,11.2,0.5,true
31,South Florida,0.7051282051282051,11.2,0.5,true
32,Holy Cross,0.6923076923076923,11.1,0.5,true
33,Loyola Marymount,0.6923076923076923,11.1,0.5,true
34,Penn State,0.6923076923076923,11.1,0.5,true
35,Duquesne,0.6794871794871795,11.0,0.5,true
36,Eastern Michigan,0.6794871794871795,11.0,0.5,true
37,Fairleigh Dickinson,0.6794871794871795,11.0,0.5,true
38,Florida,0.6794871794871795,11.0,0.5,true
39,Sacramento State,0.6794871794871795,11.0,0.5,true
40,Charleston Southern,0.6666666666666667,10.9,0.5,true
41,Detroit Mercy,0.6666666666666667,10.9,0.5,true
42,Manhattan,0.6666666666666667,10.9,0.5,true
43,Columbia,0.653846153846154,10.8,0.5,true
44,Florida A&M,0.653846153846154,10.8,0.5,true
45,Nebraska,0.653846153846154,10.8,0.5,true
46,Alabama A&M,0.641025641025641,10.7,0.5,true
47,Alcorn State,0.641025641025641,10.7,0.5,true
48,American,0.641025641025641,10.7,0.5,true
49,University of California,0.641025641025641,10.7,0.5,true
50,La Salle,0.641025641025641,10.7,0.5,true
51,Texas Tech,0.641025641025641,10.7,0.5,true
52,Murray State,0.6282051282051282,10.6,0.5,true
53,Saint Louis,0.6282051282051282,10.6,0.5,true
54,Sam Houston State,0.6282051282051282,10.6,0.5,true
55,Austin Peay,0.6153846153846154,10.5,0.5,true
56,East Tennessee State,0.6153846153846154,10.5,0.5,true
57,Gonzaga,0.6153846153846154,10.5,0.5,true
58,Mississippi,0.6153846153846154,10.5,0.5,true
59,Missouri-Kansas City,0.6153846153846154,10.5,0.5,true
60,Providence,0.6153846153846154,10.5,0.5,true
61,Robert Morris,0.6153846153846154,10.5,0.5,true
62,Brown,0.6025641025641026,10.4,0.5,true
63,Texas Southern,0.6025641025641026,10.4,0.5,true
64,Illinois,0.5897435897435899,10.3,0.5,true
65,Memphis,0.5897435897435899,10.3,0.5,true
66,Missouri State,0.5897435897435899,10.3,0.5,true
67,Morgan State,0.5897435897435899,10.3,0.5,true
68,Rhode Island,0.5897435897435899,10.3,0.5,true
69,Virginia Tech,0.5897435897435899,10.3,0.5,true
70,Central Michigan,0.5769230769230769,10.2,0.5,true
71,East Carolina,0.5769230769230769,10.2,0.5,true
72,Fresno State,0.5769230769230769,10.2,0.5,true
73,Green Bay,0.5769230769230769,10.2,0.5,true
74,Houston Baptist,0.5769230769230769,10.2,0.5,true
75,Iowa State,0.5769230769230769,10.2,0.5,true
76,Jacksonville State,0.5769230769230769,10.2,0.5,true
77,Loyola (IL),0.5769230769230769,10.2,0.5,true
78,North Carolina State,0.5769230769230769,10.2,0.5,true
79,Bethune-Cookman,0.5641025641025641,10.1,0.5,true
80,Georgia Southern,0.5641025641025641,10.1,0.5,true
81,Georgia Tech,0.5641025641025641,10.1,0.5,true
82,Purdue-Fort Wayne,0.5641025641025641,10.1,0.5,true
83,Lipscomb,0.5641025641025641,10.1,0.5,true
84,Hartford,0.5512820512820513,10.0,0.5,true
85,Pittsburgh,0.5512820512820513,10.0,0.5,true
86,Tennessee-Martin,0.5512820512820513,10.0,0.5,true
87,Texas Christian,0.5512820512820513,10.0,0.5,true
88,Texas State,0.5512820512820513,10.0,0.5,true
89,Arkansas-Pine Bluff,0.5384615384615385,9.9,0.5,true
90,Florida State,0.5384615384615385,9.9,0.5,true
91,Samford,0.5384615384615385,9.9,0.5,true
92,Seton Hall,0.5384615384615385,9.9,0.5,true
93,Southern Illinois,0.5384615384615385,9.9,0.5,true
94,Tennessee State,0.5384615384615385,9.9,0.5,true
95,Tennessee Tech,0.5384615384615385,9.9,0.5,true
96,Western Kentucky,0.5384615384615385,9.9,0.5,true
97,Wofford,0.5384615384615385,9.9,0.5,true
98,Buffalo,0.5256410256410258,9.8,0.5,true
99,College of Charleston,0.5256410256410258,9.8,0.5,true
100,Gardner-Webb,0.5256410256410258,9.8,0.5,true
101,IUPUI,0.5256410256410258,9.8,0.5,true
102,Kent State,0.5256410256410258,9.8,0.5,true
103,Liberty,0.5256410256410258,9.8,0.5,true
104,Monmouth,0.5256410256410258,9.8,0.5,true
105,North Carolina-Asheville,0.5256410256410258,9.8,0.5,true
106,North Carolina A&T,0.5256410256410258,9.8,0.5,true
107,Southern,0.5256410256410258,9.8,0.5,true
108,Cal State Bakersfield,0.5128205128205127,9.7,0.5,true
109,Jackson State,0.5128205128205127,9.7,0.5,true
110,Purdue,0.5128205128205127,9.7,0.5,true
111,Texas A&M,0.5128205128205127,9.7,0.5,true
112,Campbell,0.49999999999999994,9.6,0.5,true
113,Clemson,0.49999999999999994,9.6,0.5,true
114,Fairfield,0.49999999999999994,9.6,0.5,true
115,Indiana State,0.49999999999999994,9.6,0.5,true
116,Kansas,0.49999999999999994,9.6,0.5,true
117,Mercer,0.49999999999999994,9.6,0.5,true
118,Miami (FL),0.49999999999999994,9.6,0.5,true
119,Pennsylvania,0.49999999999999994,9.6,0.5,true
120,Savannah State,0.49999999999999994,9.6,0.5,true
121,Southeastern Louisiana,0.49999999999999994,9.6,0.5,true
122,Alabama-Birmingham,0.48717948717948717,9.5,0.5,true
123,Creighton,0.48717948717948717,9.5,0.5,true
124,Delaware State,0.48717948717948717,9.5,0.5,true
125,Florida Gulf Coast,0.48717948717948717,9.5,0.5,true
126,Houston,0.48717948717948717,9.5,0.5,true
127,Iona,0.48717948717948717,9.5,0.5,true
128,James Madison,0.48717948717948717,9.5,0.5,true
129,Montana,0.48717948717948717,9.5,0.5,true
130,Pepperdine,0.48717948717948717,9.5,0.5,true
131,Saint Francis (PA),0.48717948717948717,9.5,0.5,true
132,Cincinnati,0.4743589743589744,9.4,0.5,true
133,Indiana,0.4743589743589744,9.4,0.5,true
134,Michigan,0.4743589743589744,9.4,0.5,true
135,North Carolina,0.4743589743589744,9.4,0.5,true
136,North Texas,0.4743589743589744,9.4,0.5,true
137,Rutgers,0.4743589743589744,9.4,0.5,true
138,Stetson,0.4743589743589744,9.4,0.5,true
139,Alabama State,0.4615384615384616,9.3,0.5,true
140,UC-Davis,0.4615384615384616,9.3,0.5,true
141,Hofstra,0.4615384615384616,9.3,0.5,true
142,Long Island University,0.4615384615384616,9.3,0.5,true
143,Louisiana,0.4615384615384616,9.3,0.5,true
144,Nicholls State,0.4615384615384616,9.3,0.5,true
145,Saint Mary's (CA),0.4615384615384616,9.3,0.5,true
146,Baylor,0.4487179487179486,9.2,0.5,true
147,Canisius,0.4487179487179486,9.2,0.5,true
148,New Mexico,0.4487179487179486,9.2,0.5,true
149,NJIT,0.4487179487179486,9.2,0.5,true
150,North Alabama,0.4487179487179486,9.2,0.5,true
151,Siena,0.4487179487179486,9.2,0.5,true
152,South Carolina Upstate,0.4487179487179486,9.2,0.5,true
153,Texas,0.4487179487179486,9.2,0.5,true
154,VMI,0.4487179487179486,9.2,0.5,true
155,Virginia,0.4487179487179486,9.2,0.5,true
156,Wagner,0.4487179487179486,9.2,0.5,true
157,Belmont,0.43589743589743585,9.1,0.5,true
158,Bowling Green State,0.43589743589743585,9.1,0.5,true
159,Illinois-Chicago,0.43589743589743585,9.1,0.5,true
160,North Carolina Central,0.43589743589743585,9.1,0.5,true
161,Northeastern,0.43589743589743585,9.1,0.5,true
162,Pacific,0.43589743589743585,9.1,0.5,true
163,Stephen F. Austin,0.43589743589743585,9.1,0.5,true
164,Texas A&M-Corpus Christi,0.43589743589743585,9.1,0.5,true
165,Texas-Arlington,0.43589743589743585,9.1,0.5,true
166,Valparaiso,0.43589743589743585,9.1,0.5,true
167,Wright State,0.43589743589743585,9.1,0.5,true
168,Youngstown State,0.43589743589743585,9.1,0.5,true
169,Albany (NY),0.4230769230769231,9.0,0.5,true
170,Ball State,0.4230769230769231,9.0,0.5,true
171,Boise State,0.4230769230769231,9.0,0.5,true
172,Colgate,0.4230769230769231,9.0,0.5,true
173,Colorado State,0.4230769230769231,9.0,0.5,true
174,George Mason,0.4230769230769231,9.0,0.5,true
175,Jacksonville,0.4230769230769231,9.0,0.5,true
176,Northern Arizona,0.4230769230769231,9.0,0.5,true
177,Coastal Carolina,0.4102564102564103,8.9,0.5,true
178,DePaul,0.4102564102564103,8.9,0.5,true
179,Longwood,0.4102564102564103,8.9,0.5,true
180,Northern Kentucky,0.4102564102564103,8.9,0.5,true
181,Ohio,0.4102564102564103,8.9,0.5,true
182,Radford,0.4102564102564103,8.9,0.5,true
183,San Francisco,0.4102564102564103,8.9,0.5,true
184,Southern Methodist,0.4102564102564103,8.9,0.5,true
185,Stony Brook,0.4102564102564103,8.9,0.5,true
186,Texas-San Antonio,0.4102564102564103,8.9,0.5,true
187,Boston University,0.3974358974358975,8.8,0.5,true
188,Eastern Illinois,0.3974358974358975,8.8,0.5,true
189,Incarnate Word,0.3974358974358975,8.8,0.5,true
190,Kentucky,0.3974358974358975,8.8,0.5,true
191,Maryland-Eastern Shore,0.3974358974358975,8.8,0.5,true
192,Ohio State,0.3974358974358975,8.8,0.5,true
193,Oregon State,0.3974358974358975,8.8,0.5,true
194,South Carolina,0.3974358974358975,8.8,0.5,true
195,St. Bonaventure,0.3974358974358975,8.8,0.5,true
196,Utah State,0.3974358974358975,8.8,0.5,true
197,Brigham Young,0.3846153846153845,8.7,0.5,true
198,Butler,0.3846153846153845,8.7,0.5,true
199,Cal State Northridge,0.3846153846153845,8.7,0.5,true
200,Citadel,0.3846153846153845,8.7,0.5,true
201,Connecticut,0.3846153846153845,8.7,0.5,true
202,Fordham,0.3846153846153845,8.7,0.5,true
203,Grand Canyon,0.3846153846153845,8.7,0.5,true
204,Iowa,0.3846153846153845,8.7,0.5,true
205,Long Beach State,0.3846153846153845,8.7,0.5,true
206,Miami (OH),0.3846153846153845,8.7,0.5,true
