


,TS%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Gonzaga,1.0,0.627,0.5,true
2,South Dakota State,0.9502762430939226,0.618,0.5,true
3,Hofstra,0.883977900552486,0.606,0.5,true
4,Belmont,0.878453038674033,0.605,0.5,true
5,Northeastern,0.867403314917127,0.603,0.5,true
6,Lehigh,0.8508287292817678,0.6,0.5,true
7,Wofford,0.8508287292817678,0.6,0.5,true
8,Liberty,0.8342541436464087,0.597,0.5,true
9,Virginia Tech,0.8232044198895025,0.595,0.5,true
10,Creighton,0.8121546961325965,0.593,0.5,true
11,Utah Valley,0.8121546961325965,0.593,0.5,true
12,Michigan State,0.8011049723756904,0.591,0.5,true
13,Montana,0.8011049723756904,0.591,0.5,true
14,Lipscomb,0.7955801104972374,0.59,0.5,true
15,Murray State,0.7955801104972374,0.59,0.5,true
16,Yale,0.7900552486187843,0.589,0.5,true
17,Gardner-Webb,0.7845303867403313,0.588,0.5,true
18,Tennessee,0.7845303867403313,0.588,0.5,true
19,Purdue-Fort Wayne,0.7790055248618782,0.587,0.5,true
20,Virginia,0.7734806629834252,0.586,0.5,true
21,Colgate,0.7679558011049722,0.585,0.5,true
22,Dayton,0.756906077348066,0.583,0.5,true
23,Furman,0.756906077348066,0.583,0.5,true
24,Oakland,0.756906077348066,0.583,0.5,true
25,Louisiana-Monroe,0.751381215469613,0.582,0.5,true
26,Winthrop,0.751381215469613,0.582,0.5,true
27,College of Charleston,0.74585635359116,0.581,0.5,true
28,Fairleigh Dickinson,0.7348066298342539,0.579,0.5,true
29,Marquette,0.7292817679558009,0.578,0.5,true
30,North Dakota State,0.7292817679558009,0.578,0.5,true
31,Northern Kentucky,0.7292817679558009,0.578,0.5,true
32,Utah State,0.7292817679558009,0.578,0.5,true
33,Utah,0.7292817679558009,0.578,0.5,true
34,Drake,0.7237569060773478,0.577,0.5,true
35,Iowa State,0.7237569060773478,0.577,0.5,true
36,Weber State,0.7182320441988947,0.576,0.5,true
37,Georgia Southern,0.7127071823204417,0.575,0.5,true
38,Hartford,0.7071823204419887,0.574,0.5,true
39,Kentucky,0.7071823204419887,0.574,0.5,true
40,Loyola (IL),0.7071823204419887,0.574,0.5,true
41,Nevada,0.7071823204419887,0.574,0.5,true
42,Northern Colorado,0.7071823204419887,0.574,0.5,true
43,Campbell,0.7016574585635357,0.573,0.5,true
44,Fresno State,0.7016574585635357,0.573,0.5,true
45,Mississippi State,0.7016574585635357,0.573,0.5,true
46,Colorado State,0.6961325966850825,0.572,0.5,true
47,Presbyterian,0.6961325966850825,0.572,0.5,true
48,Incarnate Word,0.6906077348066295,0.571,0.5,true
49,Montana State,0.6906077348066295,0.571,0.5,true
50,East Tennessee State,0.6850828729281765,0.57,0.5,true
51,Georgia State,0.6850828729281765,0.57,0.5,true
52,Massachusetts-Lowell,0.6850828729281765,0.57,0.5,true
53,Saint Mary's (CA),0.6850828729281765,0.57,0.5,true
54,Samford,0.6850828729281765,0.57,0.5,true
55,Abilene Christian,0.6795580110497235,0.569,0.5,true
56,Little Rock,0.6795580110497235,0.569,0.5,true
57,Boise State,0.6795580110497235,0.569,0.5,true
58,Mississippi,0.6795580110497235,0.569,0.5,true
59,Texas Tech,0.6795580110497235,0.569,0.5,true
60,Auburn,0.6740331491712704,0.568,0.5,true
61,Iowa,0.6740331491712704,0.568,0.5,true
62,Omaha,0.6740331491712704,0.568,0.5,true
63,Toledo,0.6740331491712704,0.568,0.5,true
64,Delaware,0.6685082872928174,0.567,0.5,true
65,Iona,0.6685082872928174,0.567,0.5,true
66,Vermont,0.6685082872928174,0.567,0.5,true
67,Villanova,0.6685082872928174,0.567,0.5,true
68,William & Mary,0.6685082872928174,0.567,0.5,true
69,Austin Peay,0.6629834254143643,0.566,0.5,true
70,Brigham Young,0.6629834254143643,0.566,0.5,true
71,Bucknell,0.6629834254143643,0.566,0.5,true
72,California Baptist,0.6574585635359113,0.565,0.5,true
73,Citadel,0.6574585635359113,0.565,0.5,true
74,Pepperdine,0.6519337016574582,0.564,0.5,true
75,Sacred Heart,0.6519337016574582,0.564,0.5,true
76,San Diego,0.6519337016574582,0.564,0.5,true
77,Western Carolina,0.6519337016574582,0.564,0.5,true
78,Harvard,0.6464088397790052,0.563,0.5,true
79,South Alabama,0.6464088397790052,0.563,0.5,true
80,American,0.6408839779005527,0.562,0.5,true
81,Appalachian State,0.6408839779005527,0.562,0.5,true
82,Quinnipiac,0.6408839779005527,0.562,0.5,true
83,Washington State,0.6408839779005527,0.562,0.5,true
84,Buffalo,0.6353591160220997,0.561,0.5,true
85,Duke,0.6353591160220997,0.561,0.5,true
86,Illinois-Chicago,0.6353591160220997,0.561,0.5,true
87,New Mexico State,0.6353591160220997,0.561,0.5,true
88,North Carolina,0.6353591160220997,0.561,0.5,true
89,Richmond,0.6353591160220997,0.561,0.5,true
90,Davidson,0.6298342541436467,0.56,0.5,true
91,Oregon State,0.6298342541436467,0.56,0.5,true
92,Coastal Carolina,0.6243093922651937,0.559,0.5,true
93,Louisiana State,0.6243093922651937,0.559,0.5,true
94,Radford,0.6243093922651937,0.559,0.5,true
95,DePaul,0.6132596685082875,0.557,0.5,true
96,Drexel,0.6132596685082875,0.557,0.5,true
