


,W-L%_Gen
Rank,Name,Val,Normalized,Weight,Enabled
1,Buffalo,1.0,0.912,0.5,true
2,Houston,1.0,0.912,0.5,true
3,Gonzaga,0.9963325183374083,0.909,0.5,true
4,Virginia,0.9926650366748166,0.906,0.5,true
5,New Mexico State,0.9633251833740831,0.882,0.5,true
6,Nevada,0.9596577017114915,0.879,0.5,true
7,Wofford,0.9596577017114915,0.879,0.5,true
8,Murray State,0.9498777506112469,0.871,0.5,true
9,UC-Irvine,0.932762836185819,0.857,0.5,true
10,Duke,0.9278728606356967,0.853,0.5,true
11,Tennessee,0.9278728606356967,0.853,0.5,true
12,Belmont,0.9107579462102688,0.839,0.5,true
13,Cincinnati,0.8924205378973105,0.824,0.5,true
14,Liberty,0.8924205378973105,0.824,0.5,true
15,Michigan State,0.8924205378973105,0.824,0.5,true
16,Michigan,0.8924205378973105,0.824,0.5,true
17,North Carolina-Greensboro,0.8924205378973105,0.824,0.5,true
18,Utah State,0.8924205378973105,0.824,0.5,true
19,Abilene Christian,0.885085574572127,0.818,0.5,true
20,Kentucky,0.885085574572127,0.818,0.5,true
21,North Carolina,0.885085574572127,0.818,0.5,true
22,Vermont,0.885085574572127,0.818,0.5,true
23,Louisiana State,0.8789731051344742,0.813,0.5,true
24,Texas Tech,0.8789731051344742,0.813,0.5,true
25,Florida State,0.8557457212713937,0.794,0.5,true
26,Hofstra,0.8557457212713937,0.794,0.5,true
27,Furman,0.8398533007334963,0.781,0.5,true
28,Lipscomb,0.8398533007334963,0.781,0.5,true
29,Toledo,0.8398533007334963,0.781,0.5,true
30,Virginia Commonwealth,0.8398533007334963,0.781,0.5,true
31,Montana,0.8202933985330073,0.765,0.5,true
32,Northern Kentucky,0.8202933985330073,0.765,0.5,true
33,Old Dominion,0.8202933985330073,0.765,0.5,true
34,Washington,0.8202933985330073,0.765,0.5,true
35,Yale,0.812958435207824,0.759,0.5,true
36,Kansas State,0.8117359413202934,0.758,0.5,true
37,South Dakota State,0.8019559902200488,0.75,0.5,true
38,Stony Brook,0.8019559902200488,0.75,0.5,true
39,Virginia Tech,0.8019559902200488,0.75,0.5,true
40,Auburn,0.793398533007335,0.743,0.5,true
41,Central Florida,0.7921760391198044,0.742,0.5,true
42,Kansas,0.7836185819070904,0.735,0.5,true
43,Villanova,0.7836185819070904,0.735,0.5,true
44,College of Charleston,0.7738386308068459,0.727,0.5,true
45,Davidson,0.7738386308068459,0.727,0.5,true
46,Drake,0.7738386308068459,0.727,0.5,true
47,East Tennessee State,0.7738386308068459,0.727,0.5,true
48,Georgia State,0.7738386308068459,0.727,0.5,true
49,Jacksonville State,0.7738386308068459,0.727,0.5,true
50,Marquette,0.7738386308068459,0.727,0.5,true
51,Texas State,0.7738386308068459,0.727,0.5,true
52,Utah Valley,0.7738386308068459,0.727,0.5,true
53,Fresno State,0.7640586797066015,0.719,0.5,true
54,Purdue,0.7640586797066015,0.719,0.5,true
55,Temple,0.7640586797066015,0.719,0.5,true
56,Colgate,0.748166259168704,0.706,0.5,true
57,Mississippi State,0.737163814180929,0.697,0.5,true
58,Northeastern,0.737163814180929,0.697,0.5,true
59,Wisconsin,0.737163814180929,0.697,0.5,true
60,Arizona State,0.726161369193154,0.688,0.5,true
61,UC-Santa Barbara,0.726161369193154,0.688,0.5,true
62,Kent State,0.726161369193154,0.688,0.5,true
63,Maryland,0.726161369193154,0.688,0.5,true
64,San Francisco,0.7127139364303179,0.677,0.5,true
65,Central Michigan,0.7114914425427873,0.676,0.5,true
66,Gardner-Webb,0.7114914425427873,0.676,0.5,true
67,Iowa State,0.7114914425427873,0.676,0.5,true
68,Austin Peay,0.7004889975550123,0.667,0.5,true
69,Iowa,0.7004889975550123,0.667,0.5,true
70,North Carolina State,0.7004889975550123,0.667,0.5,true
71,Radford,0.7004889975550123,0.667,0.5,true
72,Saint Mary's (CA),0.7004889975550123,0.667,0.5,true
73,Oregon,0.6882640586797066,0.657,0.5,true
74,Saint Louis,0.6882640586797066,0.657,0.5,true
75,Dayton,0.687041564792176,0.656,0.5,true
76,Omaha,0.687041564792176,0.656,0.5,true
77,Northern Colorado,0.687041564792176,0.656,0.5,true
78,Sam Houston State,0.687041564792176,0.656,0.5,true
79,Bowling Green State,0.676039119804401,0.647,0.5,true
80,Prairie View,0.676039119804401,0.647,0.5,true
81,Lehigh,0.6735941320293398,0.645,0.5,true
82,Loyola Marymount,0.6735941320293398,0.645,0.5,true
83,Bucknell,0.6625916870415648,0.636,0.5,true
84,Colorado,0.6625916870415648,0.636,0.5,true
85,Georgia Southern,0.6625916870415648,0.636,0.5,true
86,NJIT,0.6625916870415648,0.636,0.5,true
87,North Texas,0.6625916870415648,0.636,0.5,true
88,St. John's (NY),0.6625916870415648,0.636,0.5,true
89,Brown,0.6589242053789731,0.633,0.5,true
90,Campbell,0.6491442542787286,0.625,0.5,true
91,Mississippi,0.6491442542787286,0.625,0.5,true
92,Southern Mississippi,0.6491442542787286,0.625,0.5,true
93,Harvard,0.6442542787286063,0.621,0.5,true
94,Maryland-Baltimore County,0.6405867970660146,0.618,0.5,true
95,Memphis,0.6405867970660146,0.618,0.5,true
96,Minnesota,0.6405867970660146,0.618,0.5,true
97,Norfolk State,0.6405867970660146,0.618,0.5,true
98,San Diego State,0.6405867970660146,0.618,0.5,true
99,Texas Southern,0.6405867970660146,0.618,0.5,true
100,Wright State,0.6405867970660146,0.618,0.5,true
101,Pennsylvania,0.6344743276283619,0.613,0.5,true
102,Fairleigh Dickinson,0.6259168704156479,0.606,0.5,true
103,Grand Canyon,0.6259168704156479,0.606,0.5,true
104,Lamar,0.6259168704156479,0.606,0.5,true
105,Louisiana Tech,0.6259168704156479,0.606,0.5,true
106,Louisville,0.6259168704156479,0.606,0.5,true
107,Loyola (IL),0.6259168704156479,0.606,0.5,true
108,Seton Hall,0.6259168704156479,0.606,0.5,true
109,Syracuse,0.6259168704156479,0.606,0.5,true
110,Texas Christian,0.6259168704156479,0.606,0.5,true
111,San Diego,0.6185819070904645,0.6,0.5,true
112,Winthrop,0.6185819070904645,0.6,0.5,true
113,Baylor,0.6112469437652811,0.594,0.5,true
114,Brigham Young,0.6112469437652811,0.594,0.5,true
115,Clemson,0.6112469437652811,0.594,0.5,true
116,Duquesne,0.6112469437652811,0.594,0.5,true
117,Florida International,0.6112469437652811,0.594,0.5,true
118,Georgetown,0.6112469437652811,0.594,0.5,true
119,Louisiana,0.6112469437652811,0.594,0.5,true
120,New Orleans,0.6112469437652811,0.594,0.5,true
121,North Carolina A&T,0.6112469437652811,0.594,0.5,true
122,Oklahoma,0.6112469437652811,0.594,0.5,true
123,South Florida,0.6112469437652811,0.594,0.5,true
124,Alabama-Birmingham,0.6039119804400978,0.588,0.5,true
125,Bradley,0.6039119804400978,0.588,0.5,true
126,Western Kentucky,0.6039119804400978,0.588,0.5,true
127,Hawaii,0.5953545232273838,0.581,0.5,true
128,Oregon State,0.5953545232273838,0.581,0.5,true
129,Marshall,0.5892420537897309,0.576,0.5,true
130,Ohio State,0.5892420537897309,0.576,0.5,true
131,Wichita State,0.5892420537897309,0.576,0.5,true
132,Princeton,0.5831295843520782,0.571,0.5,true
133,Creighton,0.5733496332518336,0.563,0.5,true
134,Saint Francis (PA),0.5733496332518336,0.563,0.5,true
135,Seattle,0.5733496332518336,0.563,0.5,true
136,Tulsa,0.5733496332518336,0.563,0.5,true
137,Florida,0.5684596577017116,0.559,0.5,true
138,Nevada-Las Vegas,0.5550122249388754,0.548,0.5,true
139,Utah,0.5550122249388754,0.548,0.5,true
140,Alabama,0.5513447432762837,0.545,0.5,true
141,George Mason,0.5513447432762837,0.545,0.5,true
142,Hartford,0.5513447432762837,0.545,0.5,true
143,Purdue-Fort Wayne,0.5513447432762837,0.545,0.5,true
144,Louisiana-Monroe,0.5513447432762837,0.545,0.5,true
145,North Carolina Central,0.5513447432762837,0.545,0.5,true
146,North Dakota State,0.5513447432762837,0.545,0.5,true
147,Presbyterian,0.5513447432762837,0.545,0.5,true
148,Providence,0.5513447432762837,0.545,0.5,true
149,Rhode Island,0.5513447432762837,0.545,0.5,true
150,Weber State,0.5513447432762837,0.545,0.5,true
151,Xavier,0.5513447432762837,0.545,0.5,true
152,Texas-Rio Grande Valley,0.5488997555012225,0.543,0.5,true
153,California Baptist,0.5366748166259169,0.533,0.5,true
154,Quinnipiac,0.5366748166259169,0.533,0.5,true
155,Arizona,0.5342298288508558,0.531,0.5,true
