


,eFG%_Off
Rank,Name,Val,Normalized,Weight,Enabled
1,Gonzaga,1.0,0.596,0.5,true
2,South Dakota State,0.9505494505494505,0.587,0.5,true
3,Wofford,0.9285714285714285,0.583,0.5,true
4,Belmont,0.923076923076923,0.582,0.5,true
5,Creighton,0.8846153846153845,0.575,0.5,true
6,Northeastern,0.868131868131868,0.572,0.5,true
7,Liberty,0.8626373626373625,0.571,0.5,true
8,Montana,0.857142857142857,0.57,0.5,true
9,Purdue-Fort Wayne,0.846153846153846,0.568,0.5,true
10,Hofstra,0.824175824175824,0.564,0.5,true
11,Lehigh,0.824175824175824,0.564,0.5,true
12,Virginia Tech,0.824175824175824,0.564,0.5,true
13,Furman,0.8186813186813185,0.563,0.5,true
14,Dayton,0.8076923076923082,0.561,0.5,true
15,Yale,0.8076923076923082,0.561,0.5,true
16,Murray State,0.8021978021978027,0.56,0.5,true
17,Utah Valley,0.8021978021978027,0.56,0.5,true
18,Gardner-Webb,0.7967032967032971,0.559,0.5,true
19,Colgate,0.7912087912087916,0.558,0.5,true
20,Michigan State,0.7912087912087916,0.558,0.5,true
21,Northern Kentucky,0.7857142857142861,0.557,0.5,true
22,Virginia,0.7857142857142861,0.557,0.5,true
23,Lipscomb,0.7802197802197807,0.556,0.5,true
24,Loyola (IL),0.7747252747252751,0.555,0.5,true
25,Tennessee,0.7692307692307696,0.554,0.5,true
26,Winthrop,0.7692307692307696,0.554,0.5,true
27,East Tennessee State,0.7472527472527476,0.55,0.5,true
28,Utah,0.7472527472527476,0.55,0.5,true
29,Georgia Southern,0.7417582417582421,0.549,0.5,true
30,Georgia State,0.7417582417582421,0.549,0.5,true
31,Iowa State,0.7417582417582421,0.549,0.5,true
32,Oakland,0.7417582417582421,0.549,0.5,true
33,Colorado State,0.7362637362637366,0.548,0.5,true
34,Fairleigh Dickinson,0.7307692307692312,0.547,0.5,true
35,Northern Colorado,0.7307692307692312,0.547,0.5,true
36,Fresno State,0.7252747252747256,0.546,0.5,true
37,Mississippi State,0.7252747252747256,0.546,0.5,true
38,Omaha,0.7252747252747256,0.546,0.5,true
39,William & Mary,0.7252747252747256,0.546,0.5,true
40,Little Rock,0.7197802197802201,0.545,0.5,true
41,College of Charleston,0.7197802197802201,0.545,0.5,true
42,Drake,0.7142857142857146,0.544,0.5,true
